date,open,high,low,close,volume
2007-01-09,2430.0,2400.0,2400.0,2400.0,60
2007-01-31,2400.0,2400.0,2400.0,2400.0,310
2007-02-22,2400.0,2481.0,2481.0,2481.0,27
2007-03-14,2481.0,2450.0,2450.0,2450.0,199
2007-04-03,2450.0,2450.0,2450.0,2450.0,50
2007-04-04,2450.0,2400.0,2400.0,2400.0,310
2007-04-10,2400.0,2400.0,2400.0,2400.0,239
2007-04-17,2400.0,2450.0,2450.0,2450.0,60
2007-05-10,2450.0,2572.0,2572.0,2572.0,65
2007-05-13,2572.0,2450.0,2450.0,2450.0,750
2007-05-23,2450.0,2572.0,2572.0,2572.0,200
2007-05-31,2572.0,2572.0,2572.0,2572.0,31
2007-06-24,2572.0,2575.0,2575.0,2575.0,326
2007-07-17,2575.0,2703.0,2703.0,2703.0,113
2007-07-26,2703.0,2700.0,2700.0,2700.0,100
2007-08-14,2700.0,2701.0,2701.0,2701.0,10
2007-09-03,2700.0,2700.0,2700.0,2700.0,37
2007-09-05,2700.0,2700.0,2700.0,2700.0,20
2007-09-18,2700.0,2700.0,2700.0,2700.0,750
2007-10-28,2700.0,2700.0,2700.0,2700.0,500
2007-11-01,2700.0,2700.0,2700.0,2700.0,112
2007-12-03,2754.0,2754.0,2754.0,2754.0,112
2008-01-24,2700.0,2700.0,2700.0,2700.0,50
2008-03-05,2750.0,2750.0,2750.0,2750.0,200
2008-03-09,2695.0,2695.0,2695.0,2695.0,64
2008-03-10,2690.0,2690.0,2690.0,2690.0,12
2008-03-11,2710.0,2710.0,2656.0,2660.0,624
2008-03-13,2630.0,2630.0,2500.0,2500.0,943
2008-03-17,2450.0,2500.0,2401.0,2500.0,481
2008-03-18,2450.0,2450.0,2450.0,2450.0,168
2008-03-19,2401.0,2401.0,2401.0,2401.0,125
2008-03-25,2353.0,2353.0,2260.0,2290.0,465
2008-03-26,2245.0,2245.0,2072.0,2072.0,387
2008-03-27,2040.0,2040.0,2000.0,2000.0,200
2008-03-30,2000.0,2000.0,2000.0,2000.0,250
2008-03-31,2040.0,2050.0,2040.0,2050.0,400
2008-04-03,2070.0,2070.0,2070.0,2070.0,274
2008-04-06,2111.0,2111.0,2070.0,2070.0,66
2008-04-15,2100.0,2100.0,2058.0,2058.0,517
2008-04-24,2090.0,2090.0,2070.0,2070.0,549
2008-04-28,2100.0,2100.0,2100.0,2100.0,80
2008-04-29,2105.0,2105.0,2105.0,2105.0,1380
2008-05-05,2105.0,2105.0,2105.0,2105.0,12
2008-05-11,2100.0,2100.0,2100.0,2100.0,200
2008-05-13,2142.0,2142.0,2142.0,2142.0,500
2008-05-14,2184.0,2184.0,2184.0,2184.0,35
2008-05-15,2227.0,2227.0,2227.0,2227.0,119
2008-05-18,2183.0,2183.0,2183.0,2183.0,110
2008-05-25,2226.0,2226.0,2226.0,2226.0,604
2008-05-26,2270.0,2270.0,2270.0,2270.0,600
2008-06-02,2225.0,2269.0,2225.0,2269.0,1100
2008-06-03,2250.0,2250.0,2250.0,2250.0,260
2008-06-10,2295.0,2300.0,2295.0,2300.0,225
2008-06-18,2300.0,2300.0,2300.0,2300.0,52
2008-06-22,2300.0,2300.0,2300.0,2300.0,118
2008-06-23,2254.0,2254.0,2254.0,2254.0,118
2008-06-25,2299.0,2299.0,2299.0,2299.0,207
2008-06-26,2299.0,2299.0,2299.0,2299.0,92
2008-06-30,2290.0,2290.0,2290.0,2290.0,312
2008-07-01,2300.0,2300.0,2300.0,2300.0,100
2008-07-02,2300.0,2300.0,2290.0,2290.0,526
2008-07-15,2245.0,2245.0,2201.0,2201.0,210
2008-07-31,2157.0,2157.0,2157.0,2157.0,41
2008-08-14,2190.0,2190.0,2190.0,2190.0,100
2008-08-18,2190.0,2190.0,2190.0,2190.0,160
2008-08-24,2190.0,2190.0,2190.0,2190.0,100
2008-08-26,2233.0,2277.0,2233.0,2277.0,677
2008-09-07,2277.0,2277.0,2277.0,2277.0,160
2008-09-23,2277.0,2277.0,2277.0,2277.0,200
2008-09-29,2322.0,2322.0,2322.0,2322.0,572
2008-10-20,2368.0,2368.0,2368.0,2368.0,230
2008-10-22,2321.0,2321.0,2321.0,2321.0,60
2008-10-23,2367.0,2367.0,2367.0,2367.0,100
2008-11-06,2390.0,2390.0,2390.0,2390.0,160
2008-11-17,2343.0,2343.0,2252.0,2252.0,881
2008-12-03,2225.0,2225.0,2225.0,2225.0,500
2008-12-08,2181.0,2181.0,2181.0,2181.0,78
2008-12-16,2224.0,2224.0,2224.0,2224.0,60
2009-01-22,2180.0,2180.0,2180.0,2180.0,500
2009-02-02,2223.0,2267.0,2223.0,2267.0,32
2009-02-04,2312.0,2312.0,2312.0,2312.0,89
2009-02-05,2358.0,2358.0,2358.0,2358.0,48
2009-02-11,2311.0,2311.0,2311.0,2311.0,270
2009-02-22,2357.0,2357.0,2357.0,2357.0,300
2009-02-26,2310.0,2405.0,2310.0,2405.0,195
2009-03-09,2357.0,2357.0,2310.0,2310.0,1190
2009-03-22,2310.0,2310.0,2310.0,2310.0,400
2009-03-30,2310.0,2310.0,2310.0,2310.0,1092
2009-04-19,2356.0,2356.0,2356.0,2356.0,385
2009-05-11,2403.0,2403.0,2310.0,2310.0,1808
2009-05-13,2356.0,2500.0,2356.0,2500.0,596
2009-05-14,2550.0,2550.0,2550.0,2550.0,10
2009-05-17,2601.0,2601.0,2601.0,2601.0,10
2009-05-18,2653.0,2653.0,2653.0,2653.0,10
2009-05-20,2785.0,2840.0,2785.0,2840.0,31
2009-05-21,2982.0,2982.0,2982.0,2982.0,10
2009-05-25,3041.0,3041.0,3041.0,3041.0,10
2009-05-28,3100.0,3100.0,3100.0,3100.0,1000
2009-06-18,3150.0,3213.0,3150.0,3200.0,324
2009-06-24,3140.0,3202.0,3140.0,3202.0,600
2009-06-25,3200.0,3200.0,3200.0,3200.0,55
2009-06-28,3200.0,3264.0,3200.0,3264.0,454
2009-07-20,3200.0,3200.0,3200.0,3200.0,47
2009-07-29,3136.0,3136.0,3074.0,3074.0,281
2009-08-03,3100.0,3100.0,3100.0,3100.0,500
2009-08-17,3100.0,3100.0,3100.0,3100.0,60
2009-08-20,3100.0,3100.0,3100.0,3100.0,100
2009-09-10,3038.0,3038.0,2978.0,2978.0,1100
2009-09-17,2919.0,2919.0,2919.0,2919.0,200
2009-09-23,2861.0,2861.0,2861.0,2861.0,342
2009-10-15,2804.0,2804.0,2804.0,2804.0,10
2009-10-26,2860.0,2860.0,2860.0,2860.0,10
2009-11-04,2917.0,2917.0,2917.0,2917.0,195
2009-11-23,2859.0,2859.0,2802.0,2802.0,200
2009-11-25,2800.0,2800.0,2800.0,2800.0,250
2009-12-07,2856.0,2856.0,2856.0,2856.0,250
2009-12-16,2913.0,2913.0,2913.0,2913.0,1000
2010-01-11,2855.0,2855.0,2855.0,2855.0,120
2010-02-03,2800.0,2800.0,2800.0,2800.0,215
2010-02-17,2745.0,2745.0,2745.0,2745.0,50
2010-03-03,2695.0,2695.0,2695.0,2695.0,100
2010-03-11,2748.0,2748.0,2748.0,2748.0,677
2010-03-28,2802.0,2915.0,2802.0,2915.0,90
2010-03-30,2916.0,2920.0,2916.0,2920.0,111
2010-04-07,2978.0,2978.0,2978.0,2978.0,14
2010-04-11,3000.0,3000.0,3000.0,3000.0,292
2010-04-12,3000.0,3000.0,3000.0,3000.0,28
2010-04-13,3060.0,3060.0,3060.0,3060.0,13
2010-04-15,3120.0,3120.0,3120.0,3120.0,800
2010-04-18,3120.0,3120.0,3120.0,3120.0,12
2010-04-19,3100.0,3100.0,3100.0,3100.0,16
2010-04-21,3100.0,3100.0,3100.0,3100.0,987
2010-04-27,3100.0,3100.0,3100.0,3100.0,130
2010-04-29,3162.0,3162.0,3162.0,3162.0,13
2010-05-11,3100.0,3100.0,3100.0,3100.0,518
2010-05-16,3100.0,3100.0,3100.0,3100.0,400
2010-05-19,3065.0,3065.0,3065.0,3065.0,500
2010-05-24,3125.0,3125.0,3125.0,3125.0,104
2010-05-26,3125.0,3125.0,3125.0,3125.0,138
2010-06-09,3100.0,3100.0,3100.0,3100.0,500
2010-06-16,3100.0,3100.0,3100.0,3100.0,280
2010-06-23,3100.0,3100.0,3100.0,3100.0,500
2010-06-24,3100.0,3100.0,3100.0,3100.0,40
2010-06-28,3100.0,3100.0,3100.0,3100.0,307
2010-07-01,3038.0,3038.0,3038.0,3038.0,76
2010-07-08,3098.0,3100.0,3098.0,3100.0,180
2010-07-18,3100.0,3100.0,3100.0,3100.0,54
2010-07-21,3038.0,3038.0,3038.0,3038.0,324
2010-07-22,3040.0,3040.0,3040.0,3040.0,286
2010-07-26,3100.0,3100.0,3100.0,3100.0,500
