date,open,high,low,close,volume
2007-04-02,105.0,120.0,120.0,120.0,100
2007-04-03,120.0,126.0,126.0,126.0,10
2007-04-04,126.0,132.0,132.0,132.0,10
2007-04-09,132.0,140.0,138.0,140.0,80
2007-04-16,140.0,147.0,147.0,147.0,10
2007-04-23,147.0,160.0,154.0,160.0,320
2007-04-26,160.0,168.0,168.0,168.0,10
2007-04-30,168.0,176.0,176.0,176.0,60
2007-05-03,176.0,180.0,180.0,180.0,250
2007-05-10,180.0,189.0,189.0,189.0,100
2007-05-14,189.0,198.0,198.0,198.0,400
2007-05-23,198.0,207.0,207.0,207.0,500
2007-05-30,207.0,217.0,217.0,217.0,250
2007-06-03,217.0,225.0,225.0,225.0,390
2007-06-13,225.0,230.0,230.0,230.0,600
2007-06-25,230.0,231.0,231.0,231.0,690
2007-07-10,231.0,242.0,242.0,242.0,420
2007-07-25,242.0,242.0,242.0,242.0,850
2007-08-02,242.0,242.0,242.0,242.0,100
2007-08-06,242.0,242.0,242.0,242.0,920
2007-08-23,242.0,242.0,242.0,242.0,100
2007-12-04,246.0,246.0,246.0,246.0,200
2007-12-18,250.0,250.0,250.0,250.0,200
2008-04-17,255.0,255.0,255.0,255.0,204
2008-04-21,260.0,270.0,260.0,270.0,80
2008-04-27,270.0,270.0,270.0,270.0,40
2008-05-21,265.0,265.0,265.0,265.0,357
2008-07-07,265.0,265.0,265.0,265.0,17
2008-07-31,270.0,270.0,270.0,270.0,100
2008-08-13,275.0,275.0,275.0,275.0,510
2008-08-18,275.0,275.0,275.0,275.0,170
2008-08-21,288.0,298.0,288.0,298.0,425
2008-11-11,273.0,274.0,273.0,274.0,180
2009-01-01,279.0,279.0,279.0,279.0,50
2009-01-07,284.0,289.0,284.0,289.0,500
2009-02-26,294.0,294.0,294.0,294.0,140
2009-03-12,299.0,299.0,299.0,299.0,250
2009-05-19,304.0,304.0,304.0,304.0,68
2009-06-02,304.0,304.0,304.0,304.0,480
2009-06-03,310.0,316.0,310.0,316.0,642
2009-06-21,322.0,328.0,322.0,328.0,161
2009-08-18,322.0,322.0,322.0,322.0,140
2009-10-04,328.0,328.0,328.0,328.0,369
2009-11-16,328.0,328.0,328.0,328.0,51
2009-11-18,292.0,292.0,292.0,292.0,30
2009-12-07,297.0,297.0,297.0,297.0,51
2009-12-16,297.0,297.0,297.0,297.0,170
2009-12-28,295.0,295.0,295.0,295.0,440
2010-05-30,301.0,301.0,301.0,301.0,315
2010-05-31,305.0,322.0,305.0,322.0,300
2010-06-02,328.0,328.0,328.0,328.0,63
2010-06-03,334.0,334.0,334.0,334.0,40
2010-06-07,340.0,359.0,340.0,359.0,115
2010-06-08,366.0,366.0,366.0,366.0,20
2010-06-09,373.0,380.0,373.0,380.0,20
2010-06-10,387.0,418.0,387.0,418.0,110
2010-06-13,418.0,450.0,418.0,450.0,151
2010-06-14,459.0,459.0,459.0,459.0,70
2010-06-15,460.0,470.0,460.0,465.0,449
2010-06-16,456.0,474.0,452.0,474.0,393
2010-06-17,483.0,483.0,482.0,482.0,60
2010-06-20,489.0,492.0,489.0,492.0,193
2010-06-21,501.0,501.0,500.0,500.0,50
2010-06-22,510.0,510.0,510.0,510.0,10
2010-06-23,520.0,530.0,520.0,530.0,80
2010-06-28,530.0,530.0,530.0,530.0,90
2010-06-30,520.0,520.0,519.0,519.0,510
2010-07-04,529.0,529.0,529.0,529.0,63
2010-07-05,519.0,519.0,519.0,519.0,66
2010-07-07,509.0,509.0,509.0,509.0,124
2010-07-08,499.0,499.0,490.0,490.0,200
2010-07-18,481.0,481.0,481.0,481.0,50
2010-07-19,472.0,472.0,472.0,472.0,20
2010-07-20,465.0,465.0,465.0,465.0,30
2010-07-21,456.0,456.0,450.0,450.0,52
2010-07-22,450.0,450.0,440.0,448.0,439
2010-07-25,440.0,440.0,440.0,440.0,101
2010-07-26,438.0,438.0,438.0,438.0,100
2010-07-28,446.0,446.0,446.0,446.0,18
2010-08-03,438.0,440.0,438.0,440.0,294
2010-08-05,448.0,456.0,448.0,456.0,70
2010-08-10,450.0,450.0,450.0,450.0,80
2010-08-11,445.0,445.0,442.0,442.0,50
2010-08-16,435.0,435.0,435.0,435.0,63
2010-08-29,435.0,435.0,435.0,435.0,33
2010-09-02,430.0,430.0,430.0,430.0,20
2010-09-12,438.0,446.0,438.0,446.0,126
2010-09-13,454.0,460.0,454.0,460.0,67
