date,open,high,low,close,volume
2007-07-01,110.0,115.0,115.0,115.0,20
2007-07-02,115.0,120.0,120.0,120.0,30
2007-07-03,120.0,126.0,126.0,126.0,30
2007-07-04,126.0,132.0,132.0,132.0,20
2007-07-05,132.0,138.0,138.0,138.0,20
2007-07-09,138.0,144.0,144.0,144.0,20
2007-07-10,144.0,151.0,151.0,151.0,20
2007-07-11,151.0,156.0,156.0,156.0,20
2007-08-14,156.0,156.0,156.0,156.0,940
2008-02-06,159.0,159.0,159.0,159.0,160
2008-03-13,166.0,166.0,166.0,166.0,90
2008-06-30,169.0,175.0,169.0,175.0,158
2008-09-10,178.0,178.0,178.0,178.0,40
2008-09-11,181.0,181.0,181.0,181.0,60
2008-12-22,184.0,187.0,184.0,187.0,273
2009-01-18,190.0,205.0,190.0,205.0,546
2009-01-19,209.0,217.0,209.0,217.0,273
2009-03-22,221.0,225.0,221.0,225.0,156
2009-12-31,198.0,198.0,198.0,198.0,49
2010-02-08,198.0,198.0,198.0,198.0,294
2010-06-06,134.0,138.0,134.0,138.0,643
2010-07-27,138.0,138.0,138.0,138.0,150
2010-08-01,138.0,138.0,138.0,138.0,100
2010-09-06,140.0,142.0,140.0,142.0,1252
2010-12-05,144.0,153.0,144.0,153.0,345
2010-12-27,160.0,166.0,160.0,166.0,146
2011-01-16,169.0,169.0,169.0,169.0,147
2011-02-01,172.0,172.0,172.0,172.0,90
2011-02-10,175.0,187.0,175.0,187.0,125
2011-02-21,190.0,190.0,190.0,190.0,20
2011-02-23,193.0,193.0,193.0,193.0,10
2011-03-07,202.0,202.0,202.0,202.0,10
2011-03-15,212.0,212.0,212.0,212.0,10
2011-03-16,216.0,228.0,216.0,228.0,125
2011-03-17,232.0,240.0,232.0,240.0,30
2011-03-20,244.0,252.0,244.0,252.0,30
2011-03-21,257.0,257.0,257.0,257.0,10
2011-03-22,262.0,267.0,262.0,267.0,20
2011-03-23,272.0,282.0,272.0,282.0,30
2011-03-24,287.0,302.0,287.0,302.0,40
2011-03-27,308.0,314.0,308.0,314.0,20
2011-03-29,320.0,326.0,320.0,326.0,331
2011-03-30,332.0,358.0,332.0,358.0,140
2011-03-31,365.0,393.0,365.0,393.0,915
2011-04-04,400.0,408.0,392.0,395.0,459
2011-04-05,402.0,415.0,402.0,413.0,797
2011-04-06,415.0,415.0,407.0,407.0,1062
2011-04-07,400.0,400.0,368.0,368.0,1336
2011-04-10,368.0,368.0,355.0,360.0,1286
2011-04-28,200.0,200.0,200.0,200.0,10
2011-05-05,204.0,204.0,200.0,200.0,300
2011-05-08,204.0,204.0,204.0,204.0,10
2011-05-09,200.0,200.0,196.0,196.0,479
2011-05-10,196.0,202.0,196.0,202.0,437
2011-05-11,199.0,199.0,199.0,199.0,139
2011-05-26,202.0,202.0,202.0,202.0,1026
2011-06-02,206.0,206.0,206.0,206.0,61
2011-06-05,210.0,226.0,210.0,226.0,166
2011-06-06,227.0,231.0,227.0,230.0,184
2011-06-07,234.0,234.0,233.0,233.0,82
2011-06-13,229.0,229.0,221.0,221.0,112
2011-07-05,225.0,225.0,225.0,225.0,73
2011-07-06,221.0,221.0,217.0,217.0,2270
2011-07-19,213.0,213.0,205.0,205.0,570
2011-07-20,209.0,225.0,209.0,225.0,50
2011-07-21,220.0,236.0,220.0,236.0,301
2011-07-24,240.0,248.0,240.0,248.0,153
2011-07-26,252.0,252.0,252.0,252.0,74
2011-07-27,257.0,272.0,257.0,267.0,521
2011-07-28,272.0,286.0,272.0,286.0,328
2011-07-31,291.0,296.0,291.0,292.0,218
2011-08-02,297.0,297.0,292.0,292.0,197
2011-08-15,290.0,290.0,282.0,287.0,434
2011-08-16,292.0,292.0,285.0,285.0,318
2011-08-17,290.0,290.0,285.0,285.0,175
2011-08-18,280.0,280.0,280.0,280.0,147
2011-08-22,280.0,280.0,270.0,270.0,600
2011-08-24,275.0,275.0,275.0,275.0,10
2011-08-25,280.0,280.0,280.0,280.0,63
2011-08-29,275.0,275.0,270.0,270.0,97
2011-09-04,265.0,265.0,260.0,260.0,273
2011-09-05,255.0,255.0,250.0,250.0,270
2011-09-07,255.0,264.0,255.0,264.0,268
2011-09-13,269.0,270.0,269.0,270.0,313
2011-09-15,265.0,265.0,265.0,265.0,20
2011-09-19,260.0,260.0,249.0,250.0,443
2011-09-20,255.0,255.0,252.0,252.0,311
2011-09-22,257.0,277.0,257.0,277.0,956
2011-09-25,277.0,277.0,277.0,277.0,315
2011-09-26,275.0,275.0,275.0,275.0,80
2011-10-12,280.0,280.0,280.0,280.0,74
2011-10-17,279.0,284.0,279.0,284.0,214
