date,open,high,low,close,volume
2007-03-29,98.0,100.0,100.0,100.0,50
2007-07-09,100.0,105.0,105.0,105.0,50
2008-05-08,105.0,105.0,105.0,105.0,100
2008-06-12,105.0,105.0,105.0,105.0,50
2008-07-13,103.0,103.0,100.0,100.0,134140
2008-07-29,100.0,100.0,100.0,100.0,160
2009-03-08,100.0,100.0,100.0,100.0,89430
2009-04-09,101.0,101.0,101.0,101.0,220
2009-04-12,101.0,101.0,101.0,101.0,110
2009-10-05,103.0,103.0,103.0,103.0,60
2009-12-16,103.0,103.0,103.0,103.0,410
2010-06-07,101.0,101.0,100.0,100.0,357720
2010-08-05,100.0,100.0,100.0,100.0,80
2010-08-08,100.0,100.0,100.0,100.0,10
2011-10-24,100.0,100.0,100.0,100.0,44710
2011-10-25,100.0,100.0,100.0,100.0,29060
2011-10-30,98.0,98.0,98.0,98.0,200
2011-10-31,99.0,100.0,99.0,100.0,56120
2011-11-03,100.0,100.0,100.0,100.0,11180
2011-11-08,98.0,100.0,98.0,100.0,9120
2011-11-10,100.0,100.0,99.0,100.0,208360
2011-11-13,100.0,100.0,100.0,100.0,460
2011-11-16,100.0,100.0,100.0,100.0,5020
2011-11-17,100.0,100.0,100.0,100.0,13415
2011-11-21,100.0,100.0,100.0,100.0,44965
2011-11-22,100.0,100.0,100.0,100.0,12180
2011-11-23,101.0,101.0,101.0,101.0,145320
2011-12-05,99.0,99.0,99.0,99.0,30
2011-12-07,100.0,100.0,100.0,100.0,240
2011-12-11,100.0,100.0,100.0,100.0,8540
2011-12-13,100.0,100.0,100.0,100.0,50
2011-12-14,100.0,100.0,100.0,100.0,1550
2011-12-18,100.0,100.0,100.0,100.0,50
2012-02-07,99.0,99.0,99.0,99.0,20
2012-03-20,99.0,99.0,99.0,99.0,40
2012-04-30,98.0,100.0,98.0,100.0,5730
2012-07-08,100.0,100.0,100.0,100.0,13810
2012-07-16,100.0,100.0,100.0,100.0,50
2012-08-01,99.0,99.0,99.0,99.0,70
2012-09-18,100.0,100.0,100.0,100.0,20
2013-02-05,98.0,98.0,98.0,98.0,330
2013-05-20,97.0,97.0,96.0,96.0,70
2013-07-07,97.0,98.0,97.0,98.0,80
2013-07-08,99.0,101.0,99.0,100.0,11240
2013-07-09,100.0,100.0,100.0,100.0,310
2013-08-01,100.0,100.0,100.0,100.0,609080
2013-08-04,100.0,100.0,100.0,100.0,120
2013-08-11,98.0,98.0,98.0,98.0,150
2013-10-07,99.0,99.0,99.0,99.0,400
2013-10-22,100.0,100.0,100.0,100.0,70
2013-10-31,98.0,98.0,98.0,98.0,40
2013-12-03,99.0,99.0,99.0,99.0,100
2014-03-24,100.0,100.0,100.0,100.0,60
2014-03-27,100.0,100.0,100.0,100.0,59000
2014-04-02,100.0,100.0,100.0,100.0,100
2014-04-03,102.0,110.0,102.0,110.0,100
2014-04-09,112.0,112.0,112.0,112.0,20
2014-04-17,114.0,116.0,114.0,116.0,1020
2014-04-23,118.0,118.0,118.0,118.0,100
2014-04-27,120.0,124.0,120.0,124.0,400
2014-04-29,126.0,128.0,126.0,128.0,1050
2014-05-08,130.0,134.0,130.0,134.0,1750
2014-06-17,136.0,140.0,136.0,140.0,30
2014-06-19,142.0,142.0,142.0,142.0,20
2014-06-25,144.0,153.0,144.0,153.0,60
2014-07-01,156.0,156.0,156.0,156.0,20
2014-07-08,159.0,171.0,159.0,171.0,100
2014-07-22,174.0,181.0,174.0,181.0,710
2014-07-23,184.0,184.0,184.0,184.0,30
2014-08-03,187.0,187.0,187.0,187.0,50
2014-08-05,190.0,190.0,190.0,190.0,180
2014-08-06,193.0,193.0,193.0,193.0,50
2014-08-12,193.0,193.0,193.0,193.0,20
2014-08-18,196.0,199.0,196.0,199.0,40
2014-09-01,199.0,199.0,199.0,199.0,4470
2014-09-09,202.0,210.0,202.0,210.0,60
2014-09-28,214.0,218.0,214.0,218.0,70
2014-09-29,218.0,218.0,218.0,218.0,500
2014-10-13,222.0,222.0,222.0,222.0,30
2014-10-30,222.0,222.0,222.0,222.0,20
2014-11-02,226.0,234.0,226.0,234.0,60
2014-11-04,238.0,238.0,238.0,238.0,60
2014-11-06,249.0,253.0,249.0,253.0,20
2014-11-09,258.0,263.0,258.0,263.0,1450
2014-11-17,268.0,283.0,268.0,283.0,60
2014-11-30,288.0,293.0,288.0,293.0,30
2014-12-01,298.0,298.0,298.0,298.0,50
2014-12-07,303.0,303.0,303.0,303.0,10
2014-12-08,309.0,321.0,309.0,321.0,250
2014-12-09,327.0,345.0,327.0,345.0,1090
2014-12-10,351.0,358.0,351.0,358.0,80
2014-12-11,365.0,393.0,365.0,393.0,870
2014-12-14,400.0,432.0,400.0,432.0,2450
2014-12-15,439.0,456.0,424.0,456.0,240
2014-12-16,465.0,465.0,456.0,464.0,190
2014-12-17,460.0,460.0,455.0,460.0,310
2014-12-18,469.0,484.0,469.0,484.0,180
2014-12-21,493.0,493.0,473.0,473.0,1310
2014-12-28,464.0,464.0,438.0,438.0,60
2015-01-05,430.0,430.0,406.0,406.0,180
2015-01-06,398.0,446.0,398.0,446.0,2480
2015-01-07,454.0,490.0,450.0,490.0,2210
2015-01-08,499.0,539.0,499.0,539.0,1430
2015-01-11,549.0,592.0,549.0,592.0,460
2015-01-12,603.0,639.0,603.0,639.0,220
2015-01-13,651.0,702.0,651.0,702.0,3880
2015-01-14,716.0,772.0,716.0,772.0,4125
2015-01-19,787.0,818.0,787.0,818.0,30
2015-01-22,802.0,802.0,737.0,737.0,70
2015-01-25,723.0,723.0,664.0,664.0,1090
2015-01-26,651.0,715.0,638.0,689.0,3715
2015-01-27,676.0,676.0,663.0,666.0,790
2015-01-28,660.0,673.0,660.0,673.0,110
2015-01-29,661.0,661.0,661.0,661.0,210
2015-02-01,661.0,661.0,660.0,660.0,410
2015-02-02,655.0,694.0,655.0,694.0,410
2015-02-03,689.0,748.0,689.0,748.0,1865
2015-02-04,748.0,750.0,735.0,750.0,2065
2015-02-05,735.0,735.0,735.0,735.0,500
2015-02-08,749.0,749.0,749.0,749.0,30
2015-02-09,735.0,749.0,730.0,749.0,540
2015-02-10,735.0,749.0,735.0,735.0,340
2015-02-11,721.0,721.0,707.0,707.0,70
2015-02-22,720.0,720.0,693.0,693.0,2270
2015-02-26,700.0,700.0,637.0,637.0,1630
2015-03-01,627.0,627.0,627.0,627.0,440
2015-03-02,621.0,665.0,621.0,665.0,530
2015-03-03,652.0,652.0,632.0,640.0,450
2015-03-04,631.0,633.0,631.0,633.0,50
2015-03-09,631.0,633.0,631.0,633.0,70
2015-03-10,633.0,633.0,633.0,633.0,30
2015-03-11,631.0,643.0,631.0,643.0,160
2015-03-12,655.0,655.0,655.0,655.0,110
2015-03-16,655.0,655.0,655.0,655.0,200
2015-03-17,668.0,668.0,660.0,660.0,110
2015-03-18,647.0,685.0,647.0,672.0,270
2015-03-19,670.0,696.0,670.0,696.0,160
2015-03-22,700.0,724.0,700.0,724.0,2225
2015-03-23,738.0,755.0,720.0,720.0,1310
2015-03-24,706.0,706.0,705.0,706.0,345
2015-03-25,708.0,711.0,700.0,710.0,740
2015-04-01,710.0,710.0,710.0,710.0,20
2015-04-06,700.0,700.0,700.0,700.0,40
2015-04-13,700.0,700.0,686.0,686.0,80
2015-04-16,680.0,680.0,680.0,680.0,20
2015-04-19,667.0,667.0,667.0,667.0,40
2015-04-21,655.0,655.0,642.0,642.0,740
2015-04-22,630.0,630.0,625.0,630.0,150
2015-04-23,638.0,638.0,638.0,638.0,110
2015-06-03,650.0,650.0,637.0,637.0,110
2015-06-10,630.0,630.0,630.0,630.0,30
2015-06-18,618.0,618.0,618.0,618.0,10
2015-06-24,606.0,606.0,594.0,594.0,20
2015-06-29,590.0,590.0,569.0,572.0,1720
2015-06-30,561.0,562.0,561.0,562.0,1240
2015-07-01,555.0,555.0,555.0,555.0,100
2015-07-02,566.0,566.0,566.0,566.0,280
2015-07-05,555.0,555.0,541.0,541.0,570
2015-07-06,551.0,595.0,551.0,585.0,80
2015-07-08,574.0,612.0,569.0,612.0,585
2015-07-13,624.0,624.0,624.0,624.0,10
2015-07-14,635.0,650.0,635.0,650.0,230
2015-07-16,663.0,684.0,663.0,684.0,30
2015-07-22,697.0,710.0,697.0,710.0,20
2015-07-23,724.0,738.0,724.0,738.0,20
2015-07-27,752.0,752.0,752.0,752.0,10
2015-07-30,754.0,754.0,754.0,754.0,20
2015-08-20,739.0,739.0,739.0,739.0,30
2015-08-26,725.0,725.0,711.0,711.0,40
2015-09-09,676.0,676.0,640.0,640.0,270
2015-09-10,628.0,628.0,604.0,604.0,30
2015-09-13,592.0,592.0,581.0,581.0,20
2015-09-14,581.0,595.0,564.0,564.0,1415
2015-09-15,575.0,575.0,554.0,556.0,530
2015-09-24,549.0,549.0,549.0,549.0,250
2015-10-06,540.0,550.0,540.0,550.0,160
2015-10-08,540.0,540.0,540.0,540.0,200
2015-11-10,530.0,530.0,530.0,530.0,50
2015-11-23,520.0,520.0,520.0,520.0,10
2015-11-25,510.0,510.0,510.0,510.0,100
2015-11-29,505.0,505.0,505.0,505.0,40
2016-01-14,495.0,495.0,495.0,495.0,350
2016-12-01,500.0,510.0,500.0,510.0,200
2016-12-05,520.0,520.0,520.0,520.0,10
2016-12-06,530.0,530.0,530.0,530.0,110
2016-12-07,540.0,572.0,540.0,572.0,100
2016-12-11,583.0,605.0,583.0,605.0,110
2016-12-12,617.0,665.0,617.0,665.0,630
2016-12-14,678.0,731.0,678.0,731.0,1440
2016-12-15,745.0,804.0,745.0,790.0,1560
2016-12-18,790.0,790.0,779.0,780.0,150
2016-12-19,780.0,780.0,780.0,780.0,155
2016-12-22,765.0,765.0,750.0,750.0,40
2017-01-18,735.0,735.0,675.0,675.0,400
2017-01-19,662.0,662.0,625.0,637.0,785
2017-01-22,649.0,660.0,649.0,660.0,200
2017-01-23,660.0,660.0,635.0,635.0,140
2017-02-02,623.0,623.0,611.0,620.0,50
2017-02-13,608.0,608.0,608.0,608.0,100
2017-02-14,600.0,600.0,600.0,600.0,50
2017-02-16,595.0,595.0,595.0,595.0,30
