date,open,high,low,close,volume
2022-08-10,509.6,509.6,459.5,459.5,39932
2022-08-11,450.4,450.4,424.0,432.2,106384
2022-08-14,432.0,432.0,416.6,424.0,18955
2022-08-15,430.0,438.6,400.9,435.0,73417
2022-08-16,430.0,432.0,412.0,421.9,29833
2022-08-17,416.5,434.0,411.0,424.9,19105
2022-08-18,430.0,430.0,414.0,417.9,36151
2022-08-21,415.0,419.8,413.1,415.0,17196
2022-08-22,411.7,431.4,408.1,417.9,11844
2022-08-23,417.0,419.0,408.0,410.0,10994
2022-08-24,415.0,415.0,408.1,411.8,8710
2022-08-25,407.0,414.0,399.0,400.0,26968
2022-08-26,400.0,400.0,392.0,392.0,12874
2022-08-28,387.0,390.0,375.0,375.1,24649
2022-08-29,378.0,385.0,371.0,381.9,10683
2022-08-30,389.0,389.0,379.0,383.9,7955
2022-08-31,389.5,389.5,370.0,370.0,10844
2022-09-01,375.0,407.0,367.5,407.0,143616
2022-09-02,415.1,415.1,394.0,396.6,15502
2022-09-04,403.0,436.0,400.0,433.0,136843
2022-09-05,441.6,450.4,418.0,450.0,107784
2022-09-06,441.0,465.0,414.0,422.9,217023
2022-09-07,420.0,420.0,402.0,404.1,113236
2022-09-08,400.3,421.1,400.0,411.9,324764
2022-09-11,418.0,418.0,401.0,406.7,97751
2022-09-12,400.5,404.0,398.6,401.0,24198
2022-09-13,406.9,407.0,398.0,404.5,95720
2022-09-14,400.0,413.5,400.0,412.9,107208
2022-09-15,406.1,410.0,385.0,392.0,102070
2022-09-16,384.2,406.0,378.0,406.0,22169
2022-09-18,398.0,398.0,379.0,384.0,37494
2022-09-20,377.0,377.0,366.2,368.0,43519
2022-09-21,374.7,375.0,366.1,370.7,21990
2022-09-22,369.2,370.1,364.0,365.0,12540
2022-09-25,362.0,362.0,353.2,361.7,16852
2022-09-27,360.0,373.0,360.0,364.0,14044
2022-09-28,364.0,373.5,358.0,360.0,13456
2022-09-29,365.0,372.0,359.0,361.0,21240
2022-10-09,361.5,380.0,361.0,371.0,16093
2022-10-10,378.0,385.0,358.0,360.0,13167
2022-10-11,354.3,360.5,354.3,358.0,7037
2022-10-12,358.0,370.0,353.0,366.9,46735
2022-10-13,362.0,371.9,360.0,366.0,20827
2022-10-16,366.0,369.0,359.0,364.0,13343
2022-10-17,358.0,365.1,358.0,360.0,6848
2022-10-19,355.2,355.2,350.0,352.0,11153
2022-10-20,347.0,351.0,345.0,347.0,6445
2022-10-23,346.0,355.9,345.4,355.9,12626
2022-10-31,350.0,357.9,350.0,357.9,5366
2022-11-01,353.0,385.9,350.0,385.9,37852
2022-11-02,381.0,390.0,373.5,382.2,38180
2022-11-03,375.0,382.0,367.6,373.0,15032
2022-11-06,376.9,384.8,374.0,384.0,12242
2022-11-07,377.8,393.2,374.0,378.0,31273
2022-11-08,373.1,384.0,371.5,380.0,21387
2022-11-09,373.1,385.0,359.0,362.0,29947
2022-11-10,369.0,369.0,350.0,356.9,19995
2022-11-13,362.9,362.9,350.0,358.0,8227
2022-11-14,353.0,364.8,350.9,364.0,14649
2022-11-15,368.0,370.0,353.8,358.0,5997
2022-11-16,360.0,363.6,358.0,360.0,12396
2022-11-17,365.0,369.8,360.1,360.7,16148
2022-11-22,367.0,368.0,351.1,358.1,6783
2022-11-23,356.0,361.2,352.5,354.2,5829
2022-11-24,352.0,364.1,351.0,361.9,11146
2022-11-27,362.0,376.6,355.0,374.8,130479
2022-11-28,377.9,381.9,364.0,372.0,16934
2022-11-29,372.0,372.0,357.7,370.0,12295
2022-11-30,370.0,370.0,360.0,368.0,7941
2022-12-01,367.0,375.3,363.1,370.0,19645
2022-12-04,367.0,380.0,367.0,375.0,20608
2022-12-05,375.0,379.0,364.6,367.0,19357
2022-12-06,365.0,367.9,360.0,366.5,23370
2022-12-07,360.2,367.0,360.1,363.5,10910
2022-12-11,360.1,364.0,359.0,360.0,6650
2022-12-12,367.0,368.0,359.7,368.0,12496
2022-12-13,361.3,367.0,361.0,365.0,8360
2022-12-14,365.0,365.0,361.0,361.2,11252
2022-12-15,359.0,362.7,358.5,362.0,16839
2022-12-18,362.0,362.0,352.2,355.0,10626
2022-12-19,351.0,361.0,351.0,361.0,12782
2022-12-20,368.0,368.0,355.0,359.9,14136
2022-12-21,356.2,359.9,356.2,359.9,3952
2022-12-22,358.0,359.0,354.1,359.0,10796
2022-12-26,366.0,394.0,354.0,394.0,21701
2022-12-27,401.8,426.2,381.1,406.0,111573
2022-12-28,399.0,407.0,395.0,403.0,32260
2022-12-29,399.0,420.0,394.0,417.0,54895
2023-01-01,416.0,447.0,408.0,419.0,112155
2023-01-02,420.0,445.0,411.6,439.5,56324
2023-01-03,432.0,460.0,424.2,446.0,64652
2023-01-04,445.5,467.0,437.1,466.0,58092
2023-01-05,466.0,474.0,450.0,465.3,157119
2023-01-08,460.0,493.8,452.0,475.1,99869
2023-01-09,475.0,512.0,475.0,508.9,131055
2023-01-10,515.0,525.0,477.0,483.0,109157
2023-01-12,473.4,473.4,445.1,448.0,119047
2023-01-17,439.1,460.0,435.0,452.0,66077
2023-01-18,460.0,461.0,445.1,445.1,58841
2023-01-19,440.0,453.0,439.0,449.0,28182
2023-01-23,452.0,457.8,440.0,444.9,40450
2023-01-24,444.9,444.9,437.2,444.0,25514
2023-01-25,450.0,474.3,445.1,461.0,76459
2023-01-26,463.0,479.2,463.0,469.9,52014
2023-01-29,461.0,476.9,460.0,460.0,49436
2023-01-30,465.0,465.0,439.1,441.5,31564
2023-01-31,442.0,453.0,437.0,442.0,24641
2023-02-01,434.9,450.0,434.9,445.0,15364
2023-02-02,448.0,448.0,432.0,440.0,29715
2023-02-05,448.8,451.0,436.1,439.0,22805
2023-02-06,446.0,447.0,437.0,438.0,11436
2023-02-07,445.9,465.0,442.0,465.0,38559
2023-02-08,474.3,477.0,454.0,460.0,31355
2023-02-09,462.0,464.1,450.0,464.0,16313
2023-02-12,455.0,455.0,437.1,441.2,26379
2023-02-14,440.1,453.9,440.0,445.0,24458
2023-02-15,445.0,450.0,435.0,435.5,23497
2023-02-16,435.0,438.0,427.0,430.0,15549
2023-02-20,434.0,434.0,421.4,427.0,8501
2023-02-22,427.0,441.0,427.0,440.0,6325
2023-02-23,438.0,438.0,425.3,433.0,17609
2023-02-26,425.0,433.0,415.0,428.0,27447
2023-02-27,427.0,435.1,419.0,428.0,13485
2023-02-28,428.0,434.3,426.0,429.9,5831
2023-03-01,421.4,429.7,419.0,428.0,13101
2023-03-02,434.0,434.0,416.0,418.9,10161
2023-03-05,427.0,427.0,413.0,419.0,17071
2023-03-07,419.0,427.0,415.1,420.0,9531
2023-03-09,428.4,436.0,422.0,434.0,19833
2023-03-12,442.0,443.0,426.3,430.0,18781
2023-03-13,421.9,422.0,415.1,422.0,11135
2023-03-14,427.8,427.8,415.1,424.0,9252
2023-03-15,417.4,425.0,415.9,420.0,7601
2023-03-16,415.3,426.0,415.3,420.0,15542
2023-03-19,400.6,420.0,400.6,412.3,8387
2023-03-20,420.0,421.0,412.0,421.0,9689
2023-03-22,420.0,428.0,420.0,420.1,17397
2023-03-23,413.2,421.0,412.0,418.9,3789
2023-03-26,418.0,419.0,408.0,410.0,5073
2023-03-27,405.0,421.2,405.0,420.0,10725
2023-03-28,419.0,428.4,416.0,423.0,6729
2023-03-29,415.3,425.0,415.3,421.1,4873
2023-03-30,429.0,432.7,422.0,423.1,8156
2023-04-02,429.9,435.0,418.0,423.9,9687
2023-04-03,415.7,423.0,415.6,422.0,5511
2023-04-04,415.0,421.0,414.1,419.8,4980
2023-04-05,426.5,435.0,411.5,426.5,11893
2023-04-06,418.2,427.0,413.1,413.1,9170
2023-04-09,413.0,415.0,404.9,409.0,10635
2023-04-10,410.0,414.8,406.3,414.8,2755
2023-04-11,407.1,424.0,407.1,424.0,9168
2023-04-12,424.0,443.4,423.1,442.0,27903
2023-04-13,433.2,450.0,433.2,439.0,18672
2023-04-16,438.0,446.0,435.0,441.0,9408
2023-04-17,437.0,439.5,432.4,436.0,14707
2023-04-18,435.0,453.3,435.0,443.6,39215
2023-04-19,452.2,452.2,441.0,450.0,11975
2023-04-20,457.0,457.0,443.0,444.0,12509
2023-04-23,440.0,443.0,435.7,442.0,8113
2023-04-24,446.8,446.8,437.3,440.9,14775
2023-04-25,445.0,450.0,438.1,446.0,8889
2023-04-26,454.7,454.7,445.9,446.0,38052
2023-04-27,454.0,454.0,440.0,450.0,14755
2023-04-30,458.0,458.0,441.0,447.9,4457
2023-05-02,445.0,445.0,439.1,441.9,1780
2023-05-03,436.3,440.0,435.5,435.5,3914
2023-05-04,444.2,444.2,433.0,438.0,6273
2023-05-07,433.1,438.0,433.1,434.0,7078
2023-05-08,430.1,435.0,421.6,427.0,7617
2023-05-09,419.0,435.0,419.0,428.0,14377
2023-05-10,436.0,436.0,430.0,432.9,1128
2023-05-11,440.0,440.0,424.3,430.0,6466
2023-05-14,430.0,430.0,423.6,427.9,1771
2023-05-15,424.1,428.0,424.0,426.0,3442
2023-05-16,426.0,438.0,426.0,435.0,10405
2023-05-17,430.0,453.8,430.0,447.8,19988
2023-05-18,455.0,465.0,450.0,461.9,48859
2023-05-21,460.0,468.0,453.1,463.9,22517
2023-05-22,472.9,473.0,454.0,468.0,37003
2023-05-23,477.0,497.0,470.0,494.0,151291
2023-05-24,500.0,520.0,484.5,520.0,52462
2023-05-28,510.0,515.0,495.4,497.0,91297
2023-05-30,487.1,487.1,461.0,470.0,102078
2023-05-31,475.0,475.0,448.0,453.0,66729
2023-06-01,455.0,464.1,442.1,461.0,68332
2023-06-04,455.0,498.7,455.0,490.0,48671
2023-06-05,486.0,496.0,476.0,476.0,75184
2023-06-06,470.1,505.0,470.1,501.0,56195
2023-06-07,508.9,514.9,495.3,500.0,67305
2023-06-08,493.0,542.8,485.0,535.0,158674
2023-06-11,537.1,549.0,532.2,537.0,70660
2023-06-12,540.0,554.9,528.5,549.0,94431
2023-06-13,540.6,575.2,540.0,550.0,144376
2023-06-14,550.0,565.0,543.2,548.9,102611
2023-06-15,541.1,563.0,541.0,563.0,76430
2023-06-18,567.0,590.0,563.0,590.0,112090
2023-06-19,587.0,590.0,562.0,564.0,72912
2023-06-20,566.0,579.9,548.0,549.0,72505
2023-06-21,546.0,569.0,541.1,553.0,44014
2023-06-22,564.0,571.0,550.0,569.0,54976
2023-06-25,580.0,617.0,571.0,609.0,222360
2023-06-26,620.0,620.0,591.0,597.4,85236
2023-06-27,609.3,609.3,590.0,593.0,57375
2023-06-28,604.8,628.8,587.0,601.0,104801
2023-07-02,596.0,630.8,593.0,612.0,165441
2023-07-03,615.0,631.9,605.0,612.0,116802
2023-07-04,624.2,635.0,606.8,620.9,41128
2023-07-05,620.9,627.3,590.0,590.0,90434
2023-07-06,600.0,604.0,585.0,593.0,56824
2023-07-09,600.0,620.0,600.0,620.0,45045
2023-07-10,620.0,627.0,607.0,610.0,50963
2023-07-11,605.0,615.0,605.0,609.9,37518
2023-07-12,613.8,618.0,605.0,617.0,35755
2023-07-13,615.0,624.0,602.0,605.0,35946
2023-07-16,615.0,616.0,593.0,600.0,19380
2023-07-17,608.0,625.0,605.1,620.0,28992
2023-07-18,630.0,647.0,623.0,637.0,64086
2023-07-19,630.5,653.8,627.0,644.0,88954
2023-07-20,656.8,656.8,637.3,639.1,48693
2023-07-23,640.0,661.0,628.1,648.0,72461
2023-07-24,650.0,653.0,630.0,630.0,72283
2023-07-25,634.9,648.0,626.0,626.0,41973
2023-07-26,638.0,639.9,620.0,620.0,29861
2023-07-27,632.0,632.9,608.3,612.8,24254
2023-07-30,620.0,620.0,597.0,601.9,29795
2023-07-31,612.0,613.0,596.0,604.9,16647
2023-08-01,593.1,614.7,582.0,584.0,18080
2023-08-02,594.0,594.0,573.6,590.7,18990
2023-08-03,591.0,599.0,577.1,586.0,15231
2023-08-06,582.0,582.0,558.0,565.9,46116
2023-08-07,555.0,580.0,550.0,555.0,11831
2023-08-08,566.1,576.0,555.0,563.0,24621
2023-08-09,560.0,599.2,559.0,591.0,32831
2023-08-10,580.0,603.5,568.2,598.0,39369
2023-08-13,598.0,611.0,588.1,607.0,47807
2023-08-14,613.0,613.0,590.0,595.0,28752
2023-08-15,606.0,606.0,585.0,590.0,27416
2023-08-16,588.0,588.0,575.0,580.0,26171
2023-08-17,580.0,600.0,580.0,592.0,30028
2023-08-20,595.0,595.0,578.3,580.0,18609
2023-08-21,580.0,589.0,570.0,579.8,15568
2023-08-22,587.0,587.0,571.4,587.0,6667
2023-08-23,587.0,603.7,587.0,597.0,18412
2023-08-24,590.0,601.0,577.4,584.0,26233
2023-08-27,592.0,592.0,563.2,567.0,19286
2023-08-28,578.0,578.0,566.4,572.0,18827
2023-08-29,580.0,580.0,570.0,574.0,13483
2023-08-30,575.0,575.0,566.1,569.9,9737
2023-09-03,561.0,570.0,551.0,555.0,16230
2023-09-04,551.2,564.8,551.2,559.0,18897
2023-09-05,569.9,569.9,550.0,556.0,9570
2023-09-07,562.0,562.0,550.0,550.1,12226
2023-09-10,555.0,579.3,550.0,579.3,16095
2023-09-11,567.8,587.0,556.0,580.0,42335
2023-09-12,583.0,584.0,563.5,563.5,14482
2023-09-13,574.7,586.0,568.0,577.0,19610
2023-09-17,578.0,578.0,554.0,556.1,40284
2023-09-18,552.0,567.0,546.1,561.0,11841
2023-09-19,557.5,569.9,555.0,568.0,5875
2023-09-21,578.0,584.5,570.0,580.0,26581
2023-09-24,580.0,585.0,565.0,565.0,17225
2023-09-25,573.0,573.0,562.3,562.3,18389
2023-09-26,573.0,580.0,566.9,569.0,13203
2023-09-27,563.0,565.0,555.0,564.0,23799
2023-10-01,556.1,558.0,546.5,552.0,13906
2023-10-02,545.2,560.0,545.2,559.9,15350
2023-10-03,564.0,564.0,550.2,554.0,4026
2023-10-04,560.0,561.0,553.4,559.0,8313
2023-10-05,564.9,564.9,550.0,556.0,15541
2023-10-08,560.0,560.0,536.0,536.0,10934
2023-10-09,536.0,547.0,533.0,534.5,7595
2023-10-10,530.1,545.0,515.0,518.5,20701
2023-10-11,528.0,538.0,507.0,510.0,47723
2023-10-12,505.0,510.0,490.0,492.1,57171
2023-10-16,501.9,505.0,478.1,489.0,26623
2023-10-17,498.7,500.0,480.1,480.1,15562
2023-10-18,489.7,497.9,489.6,497.9,4294
2023-10-19,495.0,500.0,485.0,496.5,15652
2023-10-29,487.0,487.0,471.0,471.0,25818
2023-10-30,470.4,483.0,466.0,481.5,9036
2023-10-31,482.0,482.0,475.0,477.0,4425
2023-11-01,479.5,480.0,473.3,478.0,5313
2023-11-02,475.5,475.5,473.0,474.0,7296
2023-11-05,480.0,480.0,459.7,469.0,9988
2023-11-06,478.0,484.9,469.0,480.0,3886
2023-11-07,485.0,486.0,478.3,485.9,5355
2023-11-08,495.0,495.0,477.1,483.0,4606
2023-11-09,491.0,491.0,477.0,480.0,6276
2023-11-20,489.6,494.9,485.0,492.0,9253
2023-11-21,484.1,484.1,480.0,481.2,8484
2023-11-22,472.1,492.0,472.0,482.2,11537
2023-11-23,491.0,509.5,481.3,507.0,11604
2023-11-26,499.1,540.0,499.1,540.0,44334
2023-11-27,535.0,545.7,522.1,527.2,22292
2023-11-28,527.0,530.0,519.0,521.0,21148
2023-11-29,511.0,531.0,511.0,517.8,8426
2023-11-30,510.0,514.0,507.0,510.0,7768
2023-12-03,520.0,520.0,501.2,508.9,6744
2023-12-04,518.9,518.9,512.4,513.0,6292
2023-12-05,523.2,523.2,509.0,514.0,27065
2023-12-06,523.0,523.0,509.0,512.0,12050
2023-12-07,520.9,535.0,511.0,528.2,46743
2023-12-10,538.7,571.2,538.7,571.2,23004
2023-12-11,571.2,596.0,551.0,587.0,127121
2023-12-12,578.3,615.0,578.3,608.0,60021
2023-12-13,603.0,619.0,597.0,600.0,84827
2023-12-14,593.1,617.0,591.0,617.0,44532
2023-12-17,605.0,625.0,592.7,623.0,52514
2023-12-18,629.0,629.0,610.6,621.0,62406
2023-12-19,613.2,637.5,604.9,635.0,87075
2023-12-20,645.0,646.0,624.0,624.0,55693
2023-12-21,618.0,627.0,603.1,609.0,35551
2023-12-24,597.0,626.2,597.0,606.3,54782
2023-12-27,606.0,628.4,606.0,618.3,41326
2023-12-28,624.9,650.0,615.0,644.5,107363
2024-01-01,653.0,679.0,645.0,654.0,107350
2024-01-02,643.1,658.9,625.1,627.0,66830
2024-01-03,627.0,651.0,626.0,651.0,63467
2024-01-04,655.0,660.0,639.0,642.0,49284
2024-01-07,640.0,652.0,637.0,640.2,49197
2024-01-08,645.0,657.9,642.0,650.0,38161
2024-01-09,659.0,672.0,650.0,651.0,50109
2024-01-10,664.0,677.0,646.0,653.9,89070
2024-01-11,666.9,666.9,643.2,645.0,22914
2024-01-14,647.0,649.0,640.0,642.4,19407
2024-01-16,650.0,667.0,647.0,659.0,46309
2024-01-17,665.0,705.0,665.0,685.0,112240
2024-01-18,673.0,695.0,670.0,675.0,60557
2024-01-21,675.0,688.0,640.0,659.0,56149
2024-01-22,660.0,665.0,648.1,654.0,31170
2024-01-23,654.0,660.0,648.0,660.0,20196
2024-01-24,660.0,666.0,655.0,657.0,27430
2024-01-25,660.0,669.9,656.0,660.0,59102
2024-01-28,615.0,617.0,601.0,611.0,18808
2024-01-29,623.2,623.2,601.1,601.1,30161
2024-01-30,613.0,619.1,607.0,607.1,33532
2024-01-31,618.9,618.9,593.1,593.7,32208
2024-02-01,600.0,604.7,582.2,586.0,25336
2024-02-04,595.0,595.0,576.0,577.0,19440
2024-02-05,586.9,600.2,575.0,575.1,12472
2024-02-06,585.0,593.0,577.6,593.0,12159
2024-02-07,604.0,604.0,585.1,587.5,6710
2024-02-08,590.0,597.9,578.8,596.8,10321
2024-02-11,608.0,608.0,588.4,590.0,17062
2024-02-12,592.0,600.0,590.0,594.0,23053
2024-02-13,586.0,590.1,576.2,582.3,7723
2024-02-14,588.9,592.5,580.0,583.0,13050
2024-02-15,593.9,595.1,586.0,589.9,12999
2024-02-18,601.0,601.0,570.0,570.0,9355
2024-02-20,577.0,577.0,565.5,570.5,9912
2024-02-21,575.0,575.0,565.1,567.1,8143
2024-02-22,573.0,573.0,560.2,560.2,16493
2024-02-25,560.0,564.0,548.8,553.0,18821
2024-02-26,543.2,564.0,543.2,552.0,7623
2024-02-27,562.9,570.0,551.0,556.0,9199
2024-02-28,552.0,557.0,551.2,553.4,3344
2024-02-29,545.2,577.4,545.0,548.0,10548
2024-03-03,548.0,555.5,537.1,547.9,9840
2024-03-04,558.0,569.0,558.0,569.0,60
2024-03-05,572.0,572.0,549.8,549.8,16096
2024-03-06,548.1,580.0,540.0,560.0,22836
2024-03-07,549.0,584.3,549.0,575.0,36531
2024-03-10,566.0,593.0,566.0,591.0,34007
2024-03-12,595.0,615.0,591.0,612.0,55023
2024-03-13,607.0,617.0,603.0,609.0,29379
2024-03-14,610.0,610.1,590.0,595.0,27258
2024-03-17,590.0,609.7,587.1,598.0,22767
2024-03-18,595.0,605.0,595.0,601.0,40069
2024-03-19,602.0,605.0,596.3,598.0,16465
2024-03-20,606.5,606.5,590.2,595.0,13652
2024-03-21,597.4,605.0,590.3,592.0,13534
2024-03-25,603.0,603.0,582.1,588.8,15049
2024-03-26,583.1,590.0,583.1,587.0,7715
2024-03-27,594.0,594.0,582.0,582.0,8396
2024-03-28,577.0,580.0,575.0,579.3,11282
2024-03-31,588.0,588.0,576.0,584.0,14162
2024-04-01,575.0,585.4,568.0,577.0,33299
2024-04-02,587.0,587.0,569.1,569.1,17741
2024-04-03,565.5,569.0,560.0,563.0,11258
2024-04-04,554.0,571.2,553.3,567.1,9727
2024-04-07,575.0,580.0,563.5,580.0,10620
2024-04-09,590.0,601.8,580.4,600.0,30892
2024-04-10,602.6,608.0,590.0,591.0,26387
2024-04-14,595.0,595.0,575.0,576.1,14523
2024-04-15,575.0,582.0,573.0,578.5,10945
2024-04-16,567.2,584.1,567.0,582.0,10942
2024-04-18,571.1,579.9,567.0,568.0,10143
2024-04-21,558.0,579.3,558.0,579.3,4167
2024-04-22,575.0,583.7,570.0,581.8,5125
2024-04-24,579.9,585.0,570.0,570.0,11892
2024-04-25,580.0,591.0,568.2,571.5,15617
2024-04-28,582.0,584.6,572.0,577.0,8438
2024-04-29,580.0,580.3,570.4,577.0,9318
2024-04-30,579.0,595.0,575.0,595.0,33791
2024-05-02,595.0,599.9,583.1,583.1,22933
2024-05-05,592.9,594.0,583.2,584.0,12506
2024-05-06,585.0,585.0,574.0,574.0,14459
2024-05-07,584.8,585.0,575.2,580.0,12699
2024-05-08,577.0,580.0,570.0,580.0,27044
2024-05-09,575.3,575.3,568.5,575.0,11110
2024-05-12,583.0,607.0,583.0,606.9,90422
2024-05-13,607.0,613.0,588.2,595.9,30145
2024-05-14,600.0,616.1,598.0,613.0,40257
2024-05-15,619.0,630.0,613.0,613.0,72300
2024-05-16,613.0,616.0,605.3,606.8,28038
2024-05-19,618.9,647.0,614.0,639.9,115137
2024-05-20,650.0,652.0,625.0,625.0,58565
2024-05-21,622.5,634.9,622.1,632.0,24905
2024-05-22,623.1,635.0,622.3,628.0,26121
2024-05-26,622.0,628.0,613.1,613.1,32623
2024-05-27,620.0,624.0,611.0,616.0,22830
2024-05-29,628.3,638.0,599.0,605.0,29154
2024-05-30,600.1,614.0,589.0,592.2,56732
2024-06-02,592.0,612.0,590.0,601.0,17297
2024-06-03,596.0,604.0,592.1,594.1,19375
2024-06-04,590.0,612.0,590.0,601.0,43699
2024-06-05,608.0,608.0,596.0,596.1,22797
2024-06-06,593.6,598.0,593.1,594.0,19299
