date,open,high,low,close,volume
2007-01-04,74.0,74.0,74.0,74.0,380
2007-01-10,74.0,75.0,75.0,75.0,480
2007-02-06,75.0,75.0,75.0,75.0,500
2007-02-08,75.0,75.0,75.0,75.0,100
2007-02-11,75.0,75.0,75.0,75.0,690
2007-02-14,75.0,75.0,75.0,75.0,220
2007-02-15,75.0,75.0,75.0,75.0,50
2007-02-18,75.0,76.0,76.0,76.0,120
2007-02-20,76.0,76.0,76.0,76.0,190
2007-03-04,76.0,76.0,76.0,76.0,540
2007-03-05,76.0,79.0,79.0,79.0,60
2007-03-13,79.0,79.0,79.0,79.0,820
2007-03-15,79.0,79.0,79.0,79.0,300
2007-03-29,79.0,79.0,79.0,79.0,610
2007-04-05,79.0,79.0,79.0,79.0,50
2007-04-11,79.0,76.0,76.0,76.0,70
2007-04-30,76.0,79.0,79.0,79.0,220
2007-05-06,79.0,79.0,79.0,79.0,820
2007-05-09,79.0,79.0,79.0,79.0,300
2007-05-10,79.0,79.0,79.0,79.0,340
2007-05-13,79.0,79.0,79.0,79.0,100
2007-05-24,79.0,79.0,79.0,79.0,90
2007-06-03,79.0,79.0,79.0,79.0,50
2007-06-04,79.0,80.0,80.0,80.0,200
2007-06-06,80.0,80.0,80.0,80.0,160
2007-06-10,80.0,84.0,84.0,84.0,60
2007-06-13,84.0,88.0,88.0,88.0,150
2007-06-18,88.0,92.0,92.0,92.0,900
2007-06-24,92.0,96.0,96.0,96.0,150
2007-06-25,96.0,98.0,98.0,98.0,750
2007-07-01,98.0,95.0,95.0,95.0,120
2007-07-04,95.0,95.0,95.0,95.0,350
2007-07-11,95.0,95.0,95.0,95.0,280
2007-07-17,95.0,95.0,95.0,95.0,390
2007-07-18,95.0,95.0,95.0,95.0,50
2007-07-19,95.0,95.0,95.0,95.0,440
2007-07-22,95.0,95.0,95.0,95.0,70
2007-07-23,95.0,95.0,95.0,95.0,210
2007-07-26,95.0,95.0,95.0,95.0,620
2007-08-08,95.0,99.0,99.0,99.0,930
2007-08-14,99.0,95.0,95.0,95.0,900
2007-08-15,96.0,96.0,96.0,96.0,70
2007-08-23,95.0,95.0,93.0,93.0,930
2007-08-24,92.0,92.0,92.0,92.0,310
2007-10-16,91.0,91.0,91.0,91.0,300
2007-11-06,90.0,90.0,90.0,90.0,100
2007-12-02,90.0,90.0,90.0,90.0,270
2007-12-13,90.0,90.0,90.0,90.0,500
2007-12-18,91.0,91.0,91.0,91.0,750
2007-12-20,92.0,92.0,92.0,92.0,200
2007-12-26,93.0,94.0,93.0,94.0,580
2008-01-09,95.0,95.0,95.0,95.0,180
2008-01-10,96.0,96.0,96.0,96.0,50
2008-01-21,95.0,96.0,95.0,96.0,200
2008-01-27,96.0,96.0,96.0,96.0,60
2008-02-12,96.0,96.0,96.0,96.0,50
2008-02-21,97.0,97.0,95.0,95.0,360
2008-03-13,94.0,94.0,94.0,94.0,80
2008-03-16,94.0,94.0,94.0,94.0,70
2008-04-02,94.0,94.0,94.0,94.0,70
2008-04-15,95.0,95.0,95.0,95.0,360
2008-04-29,96.0,96.0,96.0,96.0,200
2008-05-05,96.0,96.0,96.0,96.0,50
2008-05-08,96.0,96.0,96.0,96.0,10
2008-05-14,97.0,98.0,97.0,98.0,100
2008-05-15,99.0,100.0,99.0,100.0,50010
