date,open,high,low,close,volume
2007-01-08,150.0,157.0,157.0,157.0,250
2007-01-09,157.0,164.0,164.0,164.0,1000
2007-01-10,164.0,172.0,172.0,172.0,1000
2007-01-11,172.0,183.0,180.0,183.0,1000
2007-01-15,183.0,190.0,190.0,190.0,24750
2007-01-18,190.0,193.0,193.0,193.0,5000
2007-01-21,193.0,190.0,190.0,190.0,20000
2007-01-28,190.0,199.0,199.0,199.0,2000
2007-01-29,199.0,190.0,190.0,190.0,8000
2007-01-31,190.0,202.0,199.0,202.0,1147
2007-02-06,202.0,212.0,212.0,212.0,550
2007-05-06,212.0,212.0,212.0,212.0,180
2007-05-24,212.0,212.0,212.0,212.0,120
2007-06-07,212.0,212.0,212.0,212.0,20
2007-06-12,212.0,210.0,210.0,210.0,80
2007-06-18,210.0,200.0,200.0,200.0,80
2007-07-30,200.0,200.0,200.0,200.0,57
2007-07-31,200.0,200.0,200.0,200.0,91
2007-08-06,200.0,200.0,200.0,200.0,240
2007-08-07,200.0,201.0,201.0,201.0,20
2007-08-13,201.0,211.0,211.0,211.0,200
2007-08-14,211.0,221.0,221.0,221.0,200
2007-08-21,225.0,225.0,225.0,225.0,600
2007-08-22,229.0,233.0,229.0,233.0,100
2007-09-20,237.0,244.0,237.0,244.0,3000
2007-09-23,248.0,248.0,248.0,248.0,1000
2007-09-27,250.0,250.0,250.0,250.0,40
2007-10-02,250.0,250.0,250.0,250.0,1500
2007-10-04,250.0,250.0,250.0,250.0,3000
2007-10-07,252.0,252.0,250.0,250.0,8500
2007-11-06,250.0,250.0,250.0,250.0,2000
2008-01-13,245.0,245.0,245.0,245.0,13
2008-01-21,245.0,245.0,245.0,245.0,15
2008-01-22,245.0,245.0,245.0,245.0,20
2008-03-26,241.0,241.0,233.0,241.0,120
2008-03-30,245.0,253.0,245.0,253.0,180
2008-04-04,255.0,255.0,255.0,255.0,84
2008-05-11,258.0,258.0,258.0,258.0,104
2008-05-18,263.0,263.0,263.0,263.0,3000
2008-05-26,268.0,268.0,268.0,268.0,2000
2008-06-02,273.0,294.0,273.0,294.0,4990
2008-06-04,299.0,323.0,299.0,323.0,10190
2008-06-05,329.0,341.0,329.0,341.0,13230
2008-07-10,277.0,277.0,277.0,277.0,500
2008-07-22,272.0,272.0,272.0,272.0,1120
2008-08-18,285.0,285.0,285.0,285.0,20
2008-08-21,290.0,290.0,290.0,290.0,200
2008-09-03,304.0,304.0,304.0,304.0,20
2008-09-09,319.0,319.0,319.0,319.0,20
2008-09-23,325.0,331.0,325.0,331.0,100
2008-11-20,347.0,347.0,347.0,347.0,20
2008-12-08,353.0,353.0,353.0,353.0,121
2008-12-22,360.0,367.0,360.0,367.0,980
2009-01-08,374.0,374.0,374.0,374.0,340
2009-01-11,381.0,388.0,381.0,388.0,2000
