date,open,high,low,close,volume
2007-01-02,740.0,745.0,730.0,730.0,4039
2007-01-03,730.0,720.0,715.0,720.0,3927
2007-01-04,720.0,743.0,720.0,743.0,11152
2007-01-07,743.0,783.0,750.0,783.0,8067
2007-01-08,783.0,810.0,765.0,810.0,13903
2007-01-09,810.0,865.0,815.0,851.0,7215
2007-01-10,851.0,850.0,835.0,835.0,2384
2007-01-11,835.0,835.0,809.0,811.0,4494
2007-01-14,825.0,825.0,825.0,825.0,209
2007-01-15,825.0,825.0,825.0,825.0,25
2007-01-17,825.0,825.0,825.0,825.0,2756
2007-01-18,825.0,829.0,825.0,829.0,1795
2007-01-21,829.0,825.0,825.0,825.0,650
2007-01-22,825.0,825.0,820.0,820.0,310
2007-01-24,820.0,820.0,818.0,818.0,510
2007-01-25,818.0,800.0,782.0,785.0,3974
2007-01-28,785.0,785.0,770.0,770.0,3612
2007-01-29,770.0,760.0,750.0,750.0,5052
2007-01-31,750.0,776.0,750.0,776.0,11191
2007-02-01,776.0,795.0,780.0,790.0,6660
2007-02-04,790.0,790.0,775.0,775.0,1457
2007-02-05,775.0,775.0,770.0,770.0,3668
2007-02-06,770.0,770.0,770.0,770.0,2880
2007-02-07,770.0,770.0,765.0,765.0,3182
2007-02-08,765.0,781.0,770.0,781.0,3245
2007-02-11,781.0,780.0,780.0,780.0,867
2007-02-12,780.0,810.0,785.0,790.0,6600
2007-02-13,790.0,795.0,790.0,792.0,3872
2007-02-14,792.0,823.0,812.0,812.0,18906
2007-02-15,812.0,840.0,812.0,825.0,23122
2007-02-18,825.0,826.0,804.0,804.0,8603
2007-02-20,804.0,790.0,745.0,790.0,18830
2007-02-21,790.0,790.0,765.0,776.0,19661
2007-02-22,776.0,700.0,675.0,675.0,305
2007-02-25,675.0,650.0,640.0,640.0,2227
2007-02-26,640.0,630.0,625.0,625.0,750
2007-02-27,625.0,620.0,615.0,615.0,6182
2007-02-28,615.0,635.0,622.0,632.0,6625
2007-03-01,632.0,635.0,635.0,635.0,2149
2007-03-04,635.0,635.0,623.0,623.0,2520
2007-03-05,623.0,620.0,618.0,618.0,710
2007-03-06,618.0,600.0,580.0,580.0,3072
2007-03-07,580.0,560.0,545.0,560.0,3547
2007-03-08,560.0,610.0,575.0,609.0,5046
2007-03-11,609.0,630.0,625.0,630.0,2210
2007-03-12,630.0,635.0,612.0,612.0,4010
2007-03-13,612.0,615.0,610.0,610.0,3410
2007-03-14,610.0,605.0,600.0,605.0,5744
2007-03-15,605.0,600.0,595.0,595.0,1162
2007-03-21,595.0,590.0,590.0,590.0,602
2007-03-22,590.0,590.0,590.0,590.0,1285
2007-03-25,590.0,590.0,585.0,585.0,522
2007-03-28,585.0,575.0,570.0,570.0,109
2007-03-29,570.0,568.0,555.0,560.0,3929
2007-04-01,560.0,616.0,588.0,616.0,334
2007-04-02,616.0,622.0,615.0,615.0,8050
2007-04-03,615.0,615.0,607.0,607.0,780
2007-04-04,607.0,599.0,575.0,575.0,1487
2007-04-05,575.0,585.0,575.0,582.0,4649
2007-04-08,582.0,590.0,575.0,575.0,1250
2007-04-09,575.0,580.0,575.0,580.0,440
2007-04-10,580.0,580.0,575.0,576.0,1157
2007-04-11,576.0,575.0,575.0,575.0,980
2007-04-12,575.0,588.0,580.0,583.0,4401
2007-04-15,583.0,583.0,575.0,575.0,1457
2007-04-16,575.0,570.0,565.0,565.0,8734
2007-04-17,565.0,585.0,565.0,585.0,1705
2007-04-18,585.0,600.0,588.0,588.0,2572
2007-04-19,588.0,586.0,586.0,586.0,2500
2007-04-22,586.0,586.0,584.0,584.0,1010
2007-04-23,584.0,580.0,580.0,580.0,96
2007-04-25,580.0,581.0,580.0,581.0,1191
2007-04-26,581.0,585.0,580.0,582.0,2434
2007-04-29,582.0,585.0,585.0,585.0,320
2007-04-30,585.0,589.0,585.0,589.0,922
2007-05-03,589.0,590.0,590.0,590.0,1300
2007-05-06,590.0,595.0,590.0,594.0,2310
2007-05-07,594.0,595.0,590.0,590.0,1020
2007-05-08,590.0,590.0,580.0,580.0,1773
2007-05-09,580.0,590.0,580.0,585.0,2335
2007-05-10,585.0,584.0,580.0,584.0,2129
2007-05-13,584.0,584.0,584.0,584.0,1404
2007-05-14,584.0,590.0,586.0,590.0,520
2007-05-15,590.0,590.0,585.0,585.0,2510
2007-05-16,585.0,590.0,585.0,590.0,1390
2007-05-17,590.0,590.0,587.0,587.0,619
2007-05-20,587.0,595.0,590.0,595.0,2075
2007-05-21,595.0,605.0,590.0,605.0,4690
2007-05-22,605.0,602.0,595.0,595.0,2570
2007-05-23,595.0,592.0,585.0,592.0,4440
2007-05-24,592.0,600.0,595.0,600.0,2845
2007-05-27,600.0,600.0,600.0,600.0,120
2007-05-28,600.0,600.0,600.0,600.0,1339
2007-05-29,600.0,610.0,600.0,610.0,2225
2007-05-30,610.0,630.0,610.0,628.0,3407
2007-05-31,628.0,632.0,632.0,632.0,504
2007-06-03,632.0,640.0,632.0,640.0,1989
2007-06-04,640.0,655.0,641.0,651.0,3954
2007-06-05,651.0,660.0,651.0,660.0,4118
2007-06-06,660.0,660.0,655.0,660.0,3785
2007-06-07,660.0,660.0,660.0,660.0,10511
2007-06-10,660.0,660.0,660.0,660.0,1216
2007-06-11,660.0,680.0,660.0,680.0,2259
2007-06-12,680.0,717.0,680.0,717.0,4154
2007-06-13,717.0,740.0,725.0,725.0,4964
2007-06-18,725.0,689.0,665.0,665.0,1419
2007-06-19,665.0,665.0,660.0,661.0,1934
2007-06-20,661.0,720.0,694.0,720.0,4861
2007-06-21,720.0,725.0,700.0,705.0,11095
2007-06-24,705.0,715.0,702.0,705.0,2772
2007-06-25,705.0,705.0,705.0,705.0,6168
2007-06-26,705.0,715.0,705.0,715.0,3131
2007-06-27,715.0,716.0,715.0,716.0,7550
2007-07-01,716.0,717.0,715.0,717.0,4669
2007-07-02,717.0,726.0,717.0,726.0,4799
2007-07-03,726.0,735.0,726.0,730.0,5277
2007-07-04,730.0,740.0,730.0,740.0,3842
2007-07-05,740.0,740.0,730.0,730.0,7927
2007-07-09,730.0,735.0,735.0,735.0,3421
2007-07-10,735.0,740.0,735.0,740.0,1090
2007-07-11,740.0,741.0,735.0,740.0,3710
2007-07-12,740.0,752.0,745.0,752.0,2609
2007-07-15,752.0,815.0,746.0,815.0,8022
2007-07-16,815.0,840.0,825.0,830.0,6050
2007-07-17,830.0,832.0,829.0,830.0,4660
2007-07-18,830.0,825.0,785.0,785.0,10528
2007-07-19,785.0,810.0,746.0,810.0,6309
2007-07-22,810.0,825.0,804.0,820.0,71058
2007-07-23,820.0,822.0,820.0,821.0,6900
2007-07-24,821.0,821.0,814.0,814.0,1662
2007-07-25,814.0,815.0,808.0,808.0,1418
2007-07-26,808.0,800.0,790.0,790.0,3506
2007-07-29,790.0,790.0,780.0,780.0,1160
2007-07-30,780.0,780.0,760.0,760.0,2127
2007-07-31,760.0,750.0,740.0,750.0,3469
2007-08-01,750.0,785.0,750.0,785.0,5679
2007-08-02,785.0,815.0,800.0,801.0,959
2007-08-05,801.0,801.0,800.0,800.0,25023
2007-08-06,800.0,810.0,800.0,806.0,8616
2007-08-07,806.0,810.0,800.0,806.0,14272
2007-08-08,806.0,812.0,770.0,810.0,86465
2007-08-09,810.0,812.0,806.0,812.0,4147
2007-08-13,812.0,812.0,810.0,810.0,4570
2007-08-14,810.0,810.0,795.0,795.0,6279
2007-08-15,810.0,810.0,795.0,795.0,740
2007-08-16,785.0,790.0,775.0,790.0,460
2007-08-19,790.0,800.0,790.0,790.0,1022
2007-08-21,780.0,790.0,775.0,785.0,3442
2007-08-22,785.0,796.0,785.0,795.0,1748
2007-08-23,795.0,795.0,791.0,795.0,900
2007-08-24,790.0,792.0,790.0,792.0,1176
2007-08-26,793.0,794.0,792.0,792.0,562
2007-08-27,790.0,795.0,790.0,790.0,1861
2007-08-30,785.0,801.0,785.0,800.0,2385
2007-09-02,799.0,820.0,799.0,820.0,6255
2007-09-03,820.0,825.0,820.0,825.0,4750
2007-09-05,825.0,830.0,825.0,825.0,3634
2007-09-06,828.0,860.0,828.0,850.0,6349
2007-09-09,852.0,910.0,852.0,910.0,5084
2007-09-10,916.0,940.0,915.0,930.0,12352
2007-09-11,930.0,930.0,900.0,900.0,7677
2007-09-12,890.0,890.0,850.0,865.0,6604
2007-09-13,865.0,900.0,860.0,900.0,6515
2007-09-16,890.0,890.0,880.0,889.0,1296
2007-09-17,890.0,890.0,880.0,880.0,2630
2007-09-18,888.0,890.0,880.0,886.0,8098
2007-09-19,865.0,875.0,863.0,867.0,3104
2007-09-20,884.0,915.0,884.0,905.0,11555
2007-09-23,900.0,922.0,900.0,901.0,5197
2007-09-24,905.0,916.0,904.0,915.0,3398
2007-09-26,920.0,920.0,915.0,918.0,5284
2007-09-27,935.0,978.0,921.0,970.0,20851
2007-09-30,989.0,1025.0,989.0,1000.0,6433
2007-10-01,1020.0,1060.0,980.0,990.0,4679
2007-10-02,992.0,1030.0,992.0,1025.0,6853
2007-10-03,1020.0,1105.0,1020.0,1075.0,8576
2007-10-04,1096.0,1110.0,1085.0,1090.0,9171
2007-10-05,1090.0,1090.0,1090.0,1090.0,9
2007-10-07,1090.0,1100.0,1070.0,1070.0,3081
2007-10-08,1070.0,1070.0,963.0,963.0,1513
2007-10-09,944.0,950.0,931.0,940.0,6673
2007-10-10,922.0,989.0,922.0,989.0,10304
2007-10-11,990.0,1087.0,990.0,1087.0,2335
2007-10-14,1108.0,1152.0,1108.0,1130.0,7262
2007-10-15,1110.0,1110.0,1100.0,1110.0,2404
2007-10-16,1090.0,1110.0,1090.0,1100.0,1524
2007-10-17,1090.0,1100.0,1090.0,1100.0,862
2007-10-28,1100.0,1100.0,1090.0,1090.0,94
2007-10-29,1069.0,1069.0,1050.0,1055.0,398
2007-10-30,1055.0,1060.0,1040.0,1044.0,3804
2007-10-31,1045.0,1065.0,1045.0,1065.0,1560
2007-11-01,1075.0,1075.0,1060.0,1060.0,1934
2007-11-04,1065.0,1086.0,1055.0,1055.0,5831
2007-11-05,1075.0,1075.0,1055.0,1055.0,3340
2007-11-06,1056.0,1060.0,1056.0,1056.0,1234
2007-11-08,1057.0,1057.0,1055.0,1055.0,508
2007-11-12,1060.0,1060.0,1055.0,1060.0,328
2007-11-13,1055.0,1065.0,1055.0,1060.0,4613
2007-11-14,1060.0,1070.0,1060.0,1070.0,3421
2007-11-15,1080.0,1120.0,1080.0,1105.0,5217
2007-11-18,1105.0,1125.0,1105.0,1120.0,7486
2007-11-19,1121.0,1135.0,1120.0,1125.0,2302
2007-11-20,1140.0,1140.0,1125.0,1125.0,4102
2007-11-21,1135.0,1135.0,1090.0,1110.0,6416
2007-11-22,1111.0,1132.0,1105.0,1132.0,1691
2007-11-23,1115.0,1125.0,1115.0,1120.0,33
2007-11-25,1132.0,1140.0,1108.0,1131.0,2969
2007-11-26,1150.0,1170.0,1150.0,1165.0,8384
2007-11-27,1166.0,1168.0,1145.0,1146.0,5686
2007-11-28,1160.0,1180.0,1160.0,1165.0,2726
2007-11-29,1188.0,1250.0,1188.0,1249.0,7999
2007-11-30,1249.0,1249.0,1249.0,1249.0,8
2007-12-02,1251.0,1300.0,1250.0,1280.0,9100
2007-12-03,1300.0,1341.0,1300.0,1336.0,11639
2007-12-04,1325.0,1380.0,1325.0,1362.0,12105
2007-12-06,1389.0,1448.0,1389.0,1430.0,4848
2007-12-09,1458.0,1468.0,1440.0,1455.0,4540
2007-12-10,1457.0,1460.0,1410.0,1430.0,3363
2007-12-11,1440.0,1449.0,1429.0,1440.0,2636
2007-12-12,1440.0,1442.0,1412.0,1420.0,4446
2007-12-13,1410.0,1435.0,1390.0,1425.0,4553
2007-12-16,1453.0,1480.0,1445.0,1476.0,8415
2007-12-17,1480.0,1530.0,1480.0,1530.0,7083
2007-12-18,1555.0,1565.0,1505.0,1535.0,10686
2007-12-19,1535.0,1545.0,1480.0,1495.0,7881
2007-12-20,1495.0,1520.0,1410.0,1445.0,5285
2007-12-21,1440.0,1440.0,1440.0,1440.0,2
2007-12-23,1417.0,1423.0,1389.0,1410.0,8749
2007-12-24,1385.0,1410.0,1372.0,1401.0,15137
2008-01-08,1300.0,1300.0,1300.0,1300.0,330
2008-01-09,1274.0,1274.0,1201.0,1201.0,178
2008-01-10,1225.0,1305.0,1201.0,1240.0,8401
2008-01-13,1264.0,1275.0,1240.0,1240.0,2320
2008-01-14,1217.0,1225.0,1216.0,1225.0,360
2008-01-17,1201.0,1201.0,1177.0,1177.0,40
2008-01-21,1154.0,1154.0,1110.0,1115.0,1096
2008-01-22,1137.0,1173.0,1120.0,1120.0,3197
2008-01-23,1120.0,1120.0,1010.0,1010.0,3807
2008-01-24,1030.0,1092.0,1030.0,1092.0,2307
2008-01-25,1092.0,1092.0,1092.0,1092.0,11
2008-01-27,1100.0,1100.0,1050.0,1050.0,2661
2008-01-28,1050.0,1050.0,1005.0,1010.0,1410
2008-01-29,990.0,990.0,909.0,909.0,1137
2008-01-31,900.0,918.0,868.0,868.0,6648
2008-02-03,885.0,886.0,868.0,879.0,2335
2008-02-04,875.0,875.0,813.0,813.0,3334
2008-02-05,797.0,800.0,740.0,754.0,1159
2008-02-06,750.0,829.0,745.0,829.0,2266
2008-02-10,845.0,878.0,845.0,878.0,60
2008-02-11,895.0,895.0,895.0,895.0,122
2008-02-12,912.0,984.0,912.0,984.0,7653
