date,open,high,low,close,volume
2018-10-11,110.0,121.0,110.0,121.0,1330
2018-10-14,123.0,133.0,115.0,121.0,16907
2018-10-15,119.0,123.0,116.0,119.0,8242
2018-10-21,117.0,120.0,115.0,120.0,2940
2018-10-22,118.0,118.0,114.0,116.0,12677
2018-10-23,114.0,116.0,113.0,114.0,7050
2018-10-24,112.0,115.0,110.0,110.0,7911
2018-10-25,109.0,116.0,108.0,114.0,4390
2018-10-28,112.0,118.0,109.0,113.0,7500
2018-10-29,111.0,115.0,109.0,114.0,5000
2018-10-30,112.0,118.0,112.0,118.0,11750
2018-10-31,116.0,120.0,114.0,117.0,2710
2018-11-01,115.0,118.0,114.0,116.0,2940
2018-11-04,114.0,117.0,114.0,115.0,1792
2018-11-05,113.0,115.0,112.0,113.0,2250
2018-11-11,113.0,114.0,112.0,113.0,1330
2018-11-12,112.0,114.0,112.0,112.0,1110
2018-11-13,112.0,114.0,110.0,111.0,1040
2018-11-14,109.0,116.0,109.0,113.0,1160
2018-11-15,111.0,114.0,110.0,111.0,2355
2018-11-18,110.0,113.0,109.0,110.0,1610
2018-11-19,109.0,112.0,108.0,108.0,2361
2018-11-20,108.0,110.0,107.0,107.0,780
2018-11-21,105.0,109.0,105.0,108.0,1090
2018-11-22,106.0,109.0,106.0,107.0,1200
2018-11-25,105.0,106.0,103.0,104.0,2390
2018-11-26,102.0,104.0,102.0,104.0,1010
2018-11-27,103.0,106.0,103.0,104.0,890
2018-11-28,103.0,106.0,103.0,106.0,4570
2018-11-29,104.0,105.0,102.0,103.0,610
2018-12-02,102.0,105.0,101.0,105.0,650
2018-12-03,106.0,106.0,103.0,104.0,760
2018-12-04,104.0,105.0,103.0,103.0,1420
2018-12-05,101.0,105.0,101.0,105.0,3250
2018-12-06,106.0,106.0,103.0,104.0,300
2018-12-09,103.0,104.0,102.0,103.0,250
2018-12-10,103.0,104.0,102.0,104.0,180
2018-12-11,103.0,105.0,102.0,103.0,160
2018-12-12,101.0,104.0,101.0,103.0,460
2018-12-13,101.0,105.0,101.0,105.0,820
2018-12-16,106.0,107.0,103.0,107.0,470
2018-12-17,107.0,108.0,103.0,103.0,1610
2018-12-18,101.0,103.0,101.0,103.0,230
2018-12-19,102.0,105.0,101.0,102.0,500
2018-12-20,101.0,103.0,101.0,102.0,470
2018-12-23,104.0,105.0,100.0,101.0,2640
2018-12-24,101.0,101.0,98.0,101.0,3080
2018-12-25,101.0,102.0,99.0,100.0,680
