date,open,high,low,close,volume
2017-01-09,345.0,358.0,306.0,306.0,9577
2017-01-10,300.0,300.0,276.0,284.0,70481
2017-01-11,289.0,294.0,279.0,284.0,12035
2017-01-12,284.0,284.0,280.0,280.0,1685
2017-01-15,285.0,285.0,272.0,276.0,5691
2017-01-16,271.0,271.0,260.0,260.0,5861
2017-01-17,257.0,273.0,255.0,273.0,21098
2017-01-18,270.0,270.0,265.0,270.0,15196
2017-01-19,269.0,274.0,265.0,269.0,15912
2017-01-22,266.0,268.0,260.0,268.0,11336
2017-01-23,265.0,265.0,250.0,255.0,21929
2017-01-24,250.0,250.0,240.0,240.0,10304
2017-01-25,236.0,240.0,217.0,225.0,13164
2017-01-26,221.0,224.0,213.0,219.0,7305
2017-01-30,223.0,223.0,202.0,202.0,5572
2017-01-31,206.0,214.0,204.0,206.0,5814
2017-02-01,206.0,226.0,204.0,226.0,6666
2017-02-02,230.0,234.0,226.0,227.0,3069
2017-02-05,231.0,235.0,223.0,226.0,10333
2017-02-06,223.0,235.0,223.0,234.0,16214
2017-02-07,234.0,234.0,228.0,232.0,2431
2017-02-08,236.0,245.0,231.0,245.0,11204
2017-02-09,249.0,251.0,231.0,240.0,24264
2017-02-12,236.0,236.0,220.0,221.0,12830
2017-02-13,217.0,232.0,201.0,228.0,9848
2017-02-14,228.0,232.0,220.0,224.0,10215
2017-02-15,228.0,238.0,227.0,236.0,9269
2017-02-16,234.0,244.0,230.0,240.0,11339
2017-02-19,237.0,242.0,234.0,240.0,7194
2017-02-20,242.0,244.0,233.0,235.0,6048
2017-02-21,239.0,246.0,235.0,235.0,11285
2017-02-22,235.0,252.0,232.0,251.0,23669
2017-02-23,252.0,271.0,252.0,260.0,42316
2017-02-26,265.0,265.0,250.0,259.0,19321
2017-02-28,254.0,261.0,246.0,248.0,310966
2017-03-01,246.0,259.0,245.0,250.0,7707
2017-03-02,250.0,258.0,250.0,250.0,13144
2017-03-05,253.0,261.0,253.0,256.0,7909
2017-03-06,256.0,256.0,248.0,249.0,5126
2017-03-07,253.0,253.0,251.0,251.0,194
2017-03-09,248.0,248.0,248.0,248.0,122
2017-03-13,248.0,248.0,238.0,240.0,9135
2017-03-14,240.0,240.0,226.0,228.0,19713
2017-08-13,223.0,240.0,223.0,240.0,192
2017-08-15,244.0,264.0,244.0,264.0,112861
2017-08-16,269.0,274.0,250.0,253.0,61187
2017-08-17,253.0,258.0,250.0,255.0,18577
2017-08-20,255.0,256.0,245.0,249.0,12602
2017-08-21,250.0,251.0,241.0,246.0,4225
2017-08-22,249.0,255.0,244.0,248.0,8606
2017-08-23,245.0,252.0,244.0,245.0,6056
2017-08-24,249.0,249.0,245.0,248.0,14584
2017-08-27,248.0,252.0,242.0,245.0,25857
2017-08-28,244.0,245.0,234.0,238.0,20147
2017-08-30,242.0,242.0,229.0,234.0,32015
2017-08-31,234.0,238.0,228.0,230.0,32649
