date,open,high,low,close,volume
2014-04-30,441,449,441,449,22
2014-05-15,457,457,457,457,10
2014-05-18,466,466,466,466,10
2014-05-19,475,493,475,493,33
2014-05-20,502,502,502,502,11
2014-06-04,512,512,512,512,10
2014-06-05,522,552,522,552,44
2014-06-18,563,563,563,563,10
2014-06-23,574,574,574,574,11
2014-06-30,585,596,585,596,21
2014-07-02,625,625,625,625,10
2014-07-07,637,649,637,649,20
2014-07-22,661,661,661,661,11
2014-07-24,674,674,674,674,10
2014-08-04,687,687,687,687,10
2014-08-12,700,755,700,755,112
2014-08-14,770,770,770,770,10
2014-08-20,785,785,785,785,10
2014-08-21,800,848,800,848,40
2014-08-24,864,932,864,932,71
2014-08-25,952,1025,952,1025,384
2014-08-26,1045,1127,1045,1127,812
2014-08-27,1149,1239,1149,1239,441
2014-08-28,1263,1362,1263,1362,3036
2014-08-31,1389,1416,1300,1300,1497
2014-09-01,1280,1280,1235,1270,355
2014-09-03,1250,1295,1250,1281,369
2014-09-04,1281,1300,1280,1300,184
2014-09-07,1274,1280,1245,1245,222
2014-09-09,1227,1237,1226,1237,82
2014-09-10,1230,1310,1230,1285,264
2014-09-11,1285,1350,1274,1325,923
2014-09-14,1340,1400,1323,1400,287
2014-09-15,1400,1450,1395,1450,222
2014-09-16,1431,1595,1430,1595,1435
2014-09-17,1626,1754,1626,1660,479
2014-09-18,1660,1661,1532,1532,276
2014-09-21,1510,1510,1442,1445,103
2014-09-22,1443,1501,1387,1470,417
2014-09-23,1490,1545,1470,1545,345
2014-09-24,1574,1575,1530,1530,370
2014-09-28,1530,1549,1500,1549,41
2014-09-29,1550,1641,1461,1461,427
2014-09-30,1490,1607,1490,1590,511
2014-10-08,1600,1600,1570,1570,60
2014-10-09,1540,1540,1480,1480,83
2014-10-12,1509,1628,1509,1628,758
2014-10-13,1625,1657,1600,1624,435
2014-10-14,1592,1592,1585,1585,40
2014-10-15,1585,1616,1585,1616,110
2014-10-16,1600,1630,1580,1581,561
2014-10-19,1610,1612,1610,1612,44
2014-10-20,1614,1619,1610,1610,237
2014-10-21,1610,1630,1610,1630,235
2014-10-22,1600,1605,1571,1571,82
2014-10-26,1551,1618,1551,1618,129
2014-10-27,1640,1675,1640,1650,337
2014-10-28,1651,1715,1651,1681,256
2014-10-30,1660,1700,1650,1700,639
2014-11-02,1734,1734,1690,1700,143
2014-11-03,1666,1666,1666,1666,11
2014-11-04,1633,1633,1633,1633,20
2014-11-05,1630,1664,1600,1664,231
2014-11-06,1640,1670,1635,1670,61
2014-11-09,1670,1670,1650,1650,576
2014-11-10,1635,1650,1635,1650,30
2014-11-11,1650,1815,1650,1815,257
2014-11-12,1780,1815,1740,1740,170
2014-11-13,1730,1799,1730,1795,353
2014-11-16,1815,1830,1793,1828,233
2014-11-17,1864,1864,1725,1759,262
2014-11-18,1759,1809,1724,1809,73
2014-11-19,1809,1840,1735,1840,363
2014-11-20,1840,1840,1804,1804,93
2014-11-23,1768,1768,1711,1711,180
2014-11-24,1720,1754,1671,1704,526
2014-11-25,1730,1730,1660,1660,133
2014-11-30,1641,1641,1631,1631,130
2014-12-01,1660,1660,1660,1660,120
2014-12-02,1660,1672,1640,1672,234
2014-12-03,1639,1639,1639,1639,44
2014-12-04,1610,1620,1601,1610,76
2014-12-07,1610,1615,1610,1615,150
2014-12-08,1600,1652,1600,1645,672
2014-12-09,1613,1625,1613,1625,42
2014-12-10,1640,1640,1610,1616,201
2014-12-11,1634,1634,1616,1616,293
2014-12-14,1616,1616,1616,1616,20
2014-12-15,1612,1625,1606,1625,500
2014-12-16,1624,1625,1615,1620,462
2014-12-17,1619,1650,1619,1650,302
2014-12-18,1660,1760,1660,1760,348
2014-12-21,1725,1759,1690,1690,113
2014-12-22,1657,1700,1650,1700,270
2014-12-23,1700,1795,1700,1795,1121
2014-12-24,1795,1850,1760,1840,810
2014-12-28,1840,2024,1840,2024,724
2014-12-29,2040,2205,2040,2205,900
2014-12-31,1608,1608,1608,1608,21
2015-01-01,1640,1768,1640,1768,90
2015-01-04,1802,1842,1771,1842,77
2015-01-05,1877,1878,1877,1878,22
2015-01-06,1850,1850,1845,1845,55
2015-01-07,1870,1950,1870,1950,100
2015-01-08,1989,2145,1989,2145,228
2015-01-11,2110,2142,2070,2100,65
2015-01-12,2060,2060,1941,1941,43
2015-01-13,1903,1903,1865,1865,55
2015-01-18,1902,2051,1902,2051,96
2015-01-19,2092,2256,2092,2256,64
2015-01-20,2300,2350,2300,2350,82
2015-01-22,2350,2397,2350,2397,51
2015-01-26,2390,2400,2390,2400,20
2015-01-27,2430,2430,2430,2430,11
2015-02-05,2405,2405,2405,2405,10
2015-02-09,2357,2357,2264,2264,33
2015-02-10,2219,2219,2038,2038,85
2015-02-11,1999,2030,1998,2020,105
2015-02-12,2020,2020,2010,2020,76
2015-02-15,2030,2030,2030,2030,22
2015-02-16,2030,2174,2025,2174,250
2015-02-22,2131,2131,2131,2131,10
2015-02-23,2089,2089,2035,2035,72
2015-02-24,2000,2000,2000,2000,50
2015-02-26,2000,2010,2000,2010,210
2015-03-02,2005,2005,2000,2000,100
2015-03-03,2000,2000,2000,2000,125
2015-03-09,2000,2000,1966,1972,236
2015-03-10,1935,1935,1935,1935,11
2015-03-11,1950,2012,1950,2012,42
2015-03-12,2019,2020,1980,1990,161
2015-03-15,1951,1951,1911,1911,61
2015-03-16,1881,1881,1875,1875,173
2015-03-17,1912,1912,1800,1816,848
2015-03-18,1852,1900,1852,1900,40
2015-03-24,1930,1930,1930,1930,30
2015-03-25,1895,1895,1856,1856,120
2015-03-26,1893,1893,1819,1819,270
2015-03-29,1783,1783,1740,1740,340
2015-03-30,1750,1750,1750,1750,40
2015-03-31,1750,1830,1750,1830,66
2015-04-01,1850,1870,1850,1870,657
2015-04-02,1850,1850,1813,1815,72
2015-04-05,1815,1815,1800,1810,107
2015-04-09,1820,1821,1820,1821,88
2015-04-12,1830,1903,1830,1903,42
2015-04-13,1905,1905,1905,1905,51
2015-04-16,1905,1905,1905,1905,73
2015-04-22,1880,1900,1880,1900,85
2015-05-24,1862,1862,1710,1710,61
2015-05-25,1676,1676,1575,1575,130
2015-05-26,1544,1544,1544,1544,13
2015-05-27,1514,1514,1484,1484,20
2015-05-31,1513,1543,1513,1543,42
2015-06-09,1573,1573,1573,1573,15
2015-06-10,1604,1604,1604,1604,10
2015-06-11,1636,1764,1636,1764,154
2015-06-15,1799,1940,1799,1940,193
2015-06-16,1978,2056,1939,2056,322
2015-06-17,2015,2015,1975,2000,89
2015-06-18,1961,1961,1921,1921,51
2015-06-21,1883,1883,1846,1846,88
2015-06-22,1870,1882,1870,1882,85
2015-06-23,1881,1919,1881,1919,49
2015-06-24,1940,1940,1940,1940,13
2015-06-25,1902,1902,1902,1902,13
2015-06-30,1864,1864,1791,1791,39
2015-07-01,1790,1905,1790,1905,85
2015-07-05,1899,1900,1899,1900,35
2015-07-06,1880,1880,1870,1870,33
2015-07-07,1890,1890,1890,1890,20
2015-07-08,1900,2015,1900,2015,193
2015-07-09,2015,2015,2015,2015,51
2015-07-14,1975,1975,1920,1950,249
2015-07-15,1975,1989,1975,1989,161
2015-07-16,2028,2028,1988,2000,36
2015-07-22,2020,2121,2020,2121,281
2015-07-23,2160,2195,2152,2152,141
2015-07-27,2109,2152,2109,2152,95
2015-07-28,2110,2210,2110,2210,161
2015-07-29,2200,2250,2123,2170,385
2015-07-30,2195,2210,2191,2191,335
2015-08-02,2190,2190,2190,2190,33
2015-08-03,2147,2185,2145,2155,120
2015-08-04,2155,2198,2155,2198,61
2015-08-05,2198,2200,2195,2195,68
2015-08-06,2200,2234,2200,2234,36
2015-08-09,2278,2323,2191,2191,78
2015-08-10,2230,2230,2230,2230,28
2015-08-12,2200,2200,2200,2200,26
2015-08-13,2156,2157,2156,2157,23
2015-08-16,2115,2115,2090,2100,39
2015-08-17,2058,2058,2050,2050,49
2015-08-18,2050,2132,2050,2090,134
2015-08-19,2131,2131,2090,2119,328
2015-08-20,2150,2150,2100,2100,141
2015-08-23,2100,2100,2035,2080,333
2015-08-27,2121,2121,2121,2121,13
2015-09-02,2163,2163,2163,2163,13
2015-09-13,2206,2250,2206,2250,325
2015-09-22,1856,1930,1856,1930,30
2015-10-18,1968,1968,1968,1968,10
2015-11-09,2007,2047,2007,2047,20
2015-11-15,2007,2007,1870,1870,62
2015-11-16,1833,1833,1797,1797,20
2015-11-25,1832,1832,1832,1832,24
2015-12-06,1868,2015,1868,2015,50
2015-12-07,2055,2216,2055,2216,144
2015-12-08,2260,2305,2260,2305,109
2015-12-09,2351,2535,2351,2535,50
2015-12-10,2585,2703,2500,2703,763
2015-12-13,2649,2701,2649,2666,453
2015-12-14,2613,2613,2460,2460,40
2015-12-15,2411,2411,2316,2316,31
2015-12-17,2362,2457,2362,2457,50
2015-12-20,2506,2607,2506,2607,30
2015-12-21,2659,2864,2659,2835,137
2015-12-22,2800,2800,2800,2800,25
2015-12-23,2854,2860,2800,2800,451
2015-12-24,2850,2856,2800,2805,304
2015-12-27,2801,3085,2801,3085,245
2015-12-28,3085,3264,3085,3136,200
2015-12-29,3198,3425,3198,3425,260
2015-12-31,3480,3480,3425,3445,353
2016-01-03,3490,3550,3490,3550,669
2016-01-04,3570,3570,3500,3500,303
2016-01-05,3510,3565,3510,3540,480
2016-01-06,3540,3540,3520,3525,213
2016-01-07,3525,3530,3525,3525,180
2016-01-12,3500,3500,3490,3490,128
2016-01-14,3421,3421,3421,3421,50
2016-01-17,3489,3490,3340,3440,1231
2016-01-18,3400,3410,3382,3382,1860
2016-01-19,3330,3449,3320,3420,599
2016-01-20,3365,3672,3365,3672,171
2016-01-21,3745,3810,3700,3774,361
2016-01-24,3710,3710,3626,3698,128
2016-01-28,3637,3745,3637,3745,93
2016-01-31,3800,3800,3790,3790,25
2016-02-01,3715,3725,3700,3715,630
2016-02-02,3750,3779,3702,3779,152
2016-02-03,3720,3800,3710,3800,1270
2016-02-04,3810,3810,3590,3690,2791
2016-02-07,3763,3800,3600,3600,773
2016-02-08,3640,3700,3640,3700,96
2016-02-11,3626,3626,3356,3500,815
2016-02-14,3565,3636,3565,3636,95
2016-02-15,3564,3635,3490,3490,390
2016-02-16,3480,3480,3427,3427,146
2016-02-17,3400,3500,3365,3500,62
2016-02-21,3430,3430,3362,3429,40
2016-02-24,3450,3450,3450,3450,30
2016-02-29,3510,3510,3510,3510,100
2016-03-01,3440,3440,3372,3372,110
2016-03-02,3305,3330,3201,3330,100
2016-03-03,3396,3396,3396,3396,30
2016-03-06,3463,3532,3463,3532,50
2016-03-10,3485,3485,3465,3465,228
2016-03-14,3396,3400,3396,3400,23
2016-03-15,3468,3470,3468,3470,21
2016-03-17,3401,3401,3341,3341,30
2016-03-20,3276,3395,3276,3395,62
2016-03-21,3352,3355,3300,3345,151
2016-03-23,3280,3280,3210,3250,352
2016-03-24,3190,3200,3126,3200,183
2016-03-27,3195,3200,3120,3120,352
2016-03-28,3070,3321,3070,3321,213
2016-03-29,3261,3261,3195,3240,178
2016-03-30,3180,3220,3113,3220,316
2016-03-31,3230,3230,3102,3102,63
2016-04-03,3100,3164,3090,3164,215
2016-04-04,3150,3200,3110,3145,77
2016-04-05,3100,3162,3100,3107,297
2016-04-06,3046,3168,3046,3168,85
2016-04-10,3160,3230,3160,3230,59
2016-04-11,3200,3200,3200,3200,46
2016-04-12,3155,3155,3155,3155,45
2016-04-14,3215,3230,3215,3230,54
2016-04-17,3240,3240,3240,3240,13
2016-04-18,3240,3300,3220,3300,289
2016-04-19,3350,3417,3350,3350,46
2016-04-20,3305,3350,3305,3310,53
2016-04-21,3280,3280,3280,3280,15
2016-04-24,3320,3320,3320,3320,60
2016-04-25,3310,3310,3301,3301,63
2016-04-26,3280,3345,3280,3345,48
2016-04-27,3380,3679,3380,3679,367
2016-04-28,3610,3610,3468,3468,47
2016-05-02,3400,3400,3400,3400,66
2016-05-03,3335,3335,3305,3307,37
2016-05-04,3350,3417,3350,3350,157
2016-05-05,3350,3468,3350,3468,96
2016-05-08,3400,3536,3400,3510,146
2016-05-09,3520,3651,3520,3651,104
2016-05-10,3578,3750,3578,3680,973
2016-05-11,3635,3770,3635,3770,126
2016-05-12,3750,3750,3675,3675,36
2016-05-15,3650,3675,3650,3675,112
2016-05-16,3690,3690,3675,3675,63
2016-05-17,3748,3750,3748,3750,146
2016-05-18,3825,3890,3800,3880,509
2016-05-19,3900,3955,3900,3900,374
2016-05-22,3978,3978,3920,3940,223
2016-05-23,4008,4017,4008,4017,478
2016-05-24,4050,4050,3900,3950,559
2016-05-25,3950,3950,3950,3950,12
2016-05-26,3871,3900,3871,3875,227
2016-05-30,3800,3850,3800,3850,47
2016-05-31,3780,3825,3780,3825,43
2016-06-01,3825,3901,3825,3901,64
2016-06-02,3900,3915,3880,3880,97
2016-06-05,3805,3805,3803,3803,104
2016-06-06,3850,3879,3850,3879,24
2016-06-07,3956,3956,3877,3877,152
2016-06-08,3807,3807,3807,3807,17
2016-06-09,3805,3900,3803,3900,332
2016-06-12,3900,3900,3833,3850,85
2016-06-13,3850,3900,3845,3900,59
2016-06-14,3921,3960,3900,3950,449
2016-06-15,3950,4000,3950,4000,168
2016-06-16,4000,4000,4000,4000,17
2016-06-19,3999,3999,3925,3925,517
2016-06-20,3850,3850,3850,3850,32
2016-06-22,3773,3850,3773,3850,137
2016-06-23,3820,3925,3820,3925,254
2016-06-26,3875,3950,3860,3950,105
2016-06-27,4000,4035,3955,4035,466
2016-06-28,4000,4035,3975,4010,955
2016-06-29,4050,4090,4050,4090,193
2016-06-30,4090,4150,4025,4150,239
2016-07-03,4195,4477,4190,4477,691
2016-07-04,4566,4600,4410,4410,231
2016-07-05,4400,4410,4325,4330,297
2016-07-06,4399,4486,4399,4486,87
2016-07-10,4450,4500,4450,4500,54
2016-07-11,4410,4410,4161,4161,75
2016-07-12,4100,4182,4050,4050,345
2016-07-13,4050,4382,4050,4382,202
2016-07-14,4400,4500,4380,4400,151
2016-07-17,4312,4312,3960,3960,150
2016-07-18,3881,3966,3806,3850,557
2016-07-19,3900,4000,3860,4000,709
2016-07-20,3950,3950,3825,3825,1517
2016-07-21,3850,3900,3825,3860,1651
2016-07-25,3937,4246,3937,4246,234
2016-07-26,4330,4414,4326,4326,55
2016-07-27,4290,4290,4290,4290,61
2016-07-28,4250,4300,4250,4300,93
2016-08-01,4250,4250,4200,4200,54
2016-08-02,4150,4150,4150,4150,17
2016-08-03,4200,4200,4116,4150,227
2016-08-04,4180,4200,4117,4117,127
