date,open,high,low,close,volume
2020-06-29,424.0,432.0,382.0,382.0,8609
2020-06-30,363.0,363.0,344.0,344.0,20380
2020-07-01,327.0,378.0,315.0,378.0,41011
2020-07-02,396.0,415.0,368.0,383.0,152449
2020-07-05,380.0,415.0,370.0,400.0,384044
2020-07-06,400.0,440.0,400.0,440.0,337284
2020-07-07,462.0,484.0,453.0,484.0,189070
2020-07-08,508.0,532.0,480.0,508.0,501405
2020-07-09,515.0,516.0,486.0,504.0,302556
2020-07-12,504.0,535.0,501.0,509.0,279507
2020-07-13,512.0,517.0,501.0,508.0,202655
2020-07-14,505.0,510.0,497.0,500.0,221004
2020-07-15,500.0,510.0,500.0,504.0,193022
2020-07-16,529.0,529.0,503.0,521.0,182553
2020-07-19,547.0,573.0,547.0,570.0,44436
2020-07-20,598.0,618.0,537.0,565.0,309730
2020-07-21,565.0,567.0,550.0,557.0,223534
2020-07-22,560.0,561.0,528.0,535.0,301637
2020-07-23,535.0,547.0,520.0,545.0,212884
2020-07-26,520.0,552.0,520.0,549.0,373009
2020-07-27,559.0,575.0,553.0,562.0,264194
2020-07-28,562.0,569.0,555.0,566.0,183815
2020-07-29,567.0,588.0,557.0,584.0,272591
2020-07-30,595.0,615.0,576.0,599.0,382700
2020-08-02,610.0,610.0,584.0,586.0,382249
2020-08-03,590.0,594.0,575.0,589.0,171616
2020-08-05,588.0,590.0,576.0,576.0,234486
2020-08-06,575.0,585.0,565.0,575.0,206679
2020-08-09,575.0,580.0,563.0,572.0,156663
2020-08-10,572.0,597.0,566.0,591.0,210839
2020-08-11,590.0,599.0,585.0,587.0,204932
2020-08-12,616.0,616.0,584.0,588.0,102682
2020-08-13,588.0,588.0,580.0,580.0,123491
2020-08-16,575.0,584.0,571.0,575.0,133943
2020-08-17,570.0,590.0,570.0,588.0,112843
2020-08-18,589.0,595.0,585.0,590.0,108321
2020-08-19,585.0,587.0,578.0,579.0,117216
2020-08-20,579.0,585.0,575.0,583.0,39562
2020-08-23,583.0,599.0,581.0,596.0,113076
2020-08-24,596.0,624.0,596.0,624.0,351246
2020-08-25,624.0,679.0,623.0,672.0,443238
2020-08-26,673.0,726.0,671.0,712.0,492923
2020-08-27,710.0,722.0,703.0,709.0,325086
2020-08-30,709.0,775.0,693.0,770.0,476954
2020-08-31,775.0,847.0,775.0,847.0,346636
2020-09-02,889.0,931.0,887.0,901.0,732827
2020-09-03,920.0,920.0,856.0,889.0,466295
2020-09-06,933.0,933.0,860.0,871.0,455097
2020-09-07,871.0,880.0,854.0,856.0,329684
2020-09-08,856.0,870.0,837.0,859.0,324068
2020-09-09,865.0,899.0,857.0,891.0,253237
2020-09-10,900.0,918.0,891.0,895.0,193367
2020-09-13,925.0,925.0,895.0,898.0,267905
2020-09-14,942.0,942.0,882.0,882.0,223968
2020-09-15,908.0,908.0,874.0,881.0,127166
2020-09-16,880.0,890.0,873.0,884.0,109013
2020-09-17,885.0,897.0,873.0,876.0,170703
2020-09-20,900.0,900.0,858.0,858.0,188323
2020-09-21,900.0,900.0,845.0,862.0,172544
2020-09-22,862.0,870.0,855.0,862.0,144824
2020-09-23,819.0,870.0,819.0,869.0,101230
2020-09-24,870.0,870.0,861.0,864.0,108533
2020-09-27,870.0,875.0,860.0,860.0,104160
2020-09-28,850.0,867.0,850.0,856.0,74520
2020-09-29,856.0,856.0,851.0,853.0,91565
2020-09-30,860.0,860.0,831.0,851.0,132294
2020-10-01,850.0,870.0,850.0,863.0,97600
2020-10-04,863.0,898.0,863.0,891.0,234497
2020-10-05,891.0,908.0,885.0,887.0,166071
2020-10-06,885.0,895.0,875.0,877.0,71460
2020-10-07,920.0,920.0,865.0,873.0,78553
2020-10-08,865.0,887.0,865.0,868.0,72675
2020-10-11,868.0,877.0,848.0,861.0,66945
2020-10-12,858.0,865.0,857.0,860.0,61900
2020-10-13,860.0,865.0,855.0,856.0,73764
2020-10-14,855.0,858.0,851.0,852.0,62327
2020-10-15,855.0,869.0,850.0,854.0,86805
2020-10-18,854.0,854.0,848.0,850.0,56040
2020-10-19,850.0,858.0,848.0,854.0,33364
2020-10-20,896.0,896.0,850.0,856.0,25869
2020-10-21,855.0,863.0,844.0,857.0,29569
2020-10-22,865.0,865.0,853.0,856.0,38551
2020-10-28,851.0,869.0,850.0,867.0,52211
2020-10-29,875.0,881.0,861.0,865.0,51888
2020-11-01,865.0,869.0,858.0,858.0,38388
2020-11-02,858.0,868.0,850.0,861.0,68958
2020-11-03,862.0,869.0,849.0,863.0,47681
2020-11-04,862.0,863.0,858.0,861.0,38848
2020-11-05,859.0,865.0,856.0,858.0,81094
2020-11-08,858.0,905.0,858.0,894.0,291284
2020-11-09,904.0,973.0,900.0,969.0,583875
2020-11-10,1000.0,1000.0,951.0,961.0,292727
2020-11-11,961.0,977.0,951.0,964.0,156417
2020-11-12,964.0,991.0,960.0,983.0,337167
2020-11-18,983.0,1044.0,961.0,1037.0,337834
2020-11-19,1037.0,1118.0,1037.0,1110.0,377799
2020-11-22,1150.0,1201.0,1108.0,1138.0,504767
2020-11-23,1150.0,1152.0,1123.0,1127.0,258302
2020-11-24,1130.0,1165.0,1120.0,1159.0,224464
2020-11-25,1160.0,1274.0,1150.0,1274.0,297063
2020-11-26,1337.0,1387.0,1275.0,1339.0,429208
2020-11-29,1365.0,1400.0,1315.0,1371.0,378858
2020-11-30,1390.0,1480.0,1376.0,1454.0,261324
2020-12-01,1500.0,1599.0,1440.0,1599.0,430664
2020-12-02,1650.0,1758.0,1650.0,1758.0,82370
2020-12-03,1790.0,1836.0,1686.0,1735.0,635706
2020-12-06,1700.0,1700.0,1562.0,1562.0,714524
2020-12-07,1530.0,1670.0,1420.0,1630.0,686792
2020-12-08,1650.0,1688.0,1580.0,1605.0,283688
2020-12-09,1590.0,1603.0,1510.0,1540.0,274335
2020-12-10,1470.0,1578.0,1470.0,1549.0,228321
2020-12-13,1549.0,1571.0,1522.0,1548.0,232329
2020-12-14,1548.0,1655.0,1548.0,1651.0,286327
2020-12-15,1571.0,1699.0,1571.0,1627.0,218283
2020-12-16,1708.0,1708.0,1549.0,1584.0,152627
2020-12-17,1505.0,1543.0,1485.0,1492.0,531531
2020-12-20,1490.0,1490.0,1343.0,1346.0,571954
2020-12-21,1300.0,1400.0,1270.0,1390.0,431097
2020-12-22,1400.0,1455.0,1400.0,1439.0,171164
2020-12-23,1400.0,1480.0,1380.0,1405.0,164764
2020-12-24,1475.0,1475.0,1370.0,1376.0,132723
2020-12-27,1380.0,1380.0,1310.0,1315.0,192198
2020-12-28,1315.0,1346.0,1293.0,1322.0,94389
2020-12-29,1335.0,1369.0,1315.0,1340.0,139041
