date,open,high,low,close,volume
2007-01-03,40.0,40.0,40.0,40.0,490
2007-01-04,40.0,40.0,40.0,40.0,280
2007-01-07,40.0,46.0,46.0,46.0,3750
2007-01-08,46.0,42.0,42.0,42.0,210
2007-01-10,42.0,44.0,44.0,44.0,630
2007-01-11,44.0,42.0,42.0,42.0,350
2007-01-24,42.0,44.0,44.0,44.0,390
2007-01-28,44.0,45.0,44.0,45.0,150
2007-02-01,45.0,45.0,45.0,45.0,510
2007-02-04,45.0,47.0,47.0,47.0,210
2007-02-05,47.0,50.0,49.0,50.0,220
2007-02-06,50.0,50.0,50.0,50.0,70
2007-02-11,50.0,52.0,52.0,52.0,370
2007-02-21,52.0,55.0,54.0,55.0,110
2007-02-27,55.0,58.0,57.0,58.0,730
2007-02-28,58.0,61.0,61.0,61.0,400
2007-03-04,61.0,64.0,64.0,64.0,20
2007-03-08,64.0,67.0,67.0,67.0,20
2007-03-11,67.0,71.0,70.0,71.0,30
2007-03-12,71.0,74.0,74.0,74.0,20
2007-03-13,74.0,78.0,77.0,78.0,70
2007-03-14,78.0,81.0,81.0,81.0,40
2007-03-15,81.0,83.0,82.0,83.0,600
2007-03-21,83.0,87.0,87.0,87.0,70
2007-03-25,87.0,87.0,86.0,86.0,1450
2007-03-29,86.0,86.0,86.0,86.0,20
2007-04-03,86.0,86.0,86.0,86.0,30
2007-04-19,86.0,82.0,78.0,78.0,990
2007-04-23,78.0,75.0,75.0,75.0,420
2007-04-29,75.0,72.0,72.0,72.0,100
2007-05-03,72.0,69.0,69.0,69.0,150
2007-05-06,69.0,72.0,72.0,72.0,750
2007-05-07,72.0,72.0,72.0,72.0,160
2007-05-08,72.0,72.0,72.0,72.0,140
2007-05-09,72.0,75.0,75.0,75.0,120
2007-05-10,75.0,78.0,78.0,78.0,40
2007-05-14,78.0,76.0,76.0,76.0,370
2007-05-15,76.0,76.0,76.0,76.0,360
2007-05-16,76.0,76.0,76.0,76.0,370
2007-05-17,76.0,76.0,76.0,76.0,370
2007-05-21,76.0,76.0,76.0,76.0,780
2007-05-22,76.0,76.0,76.0,76.0,60
2007-05-23,76.0,76.0,76.0,76.0,460
2007-05-30,76.0,77.0,77.0,77.0,150
2007-05-31,77.0,78.0,77.0,78.0,470
2007-06-04,78.0,78.0,78.0,78.0,100
2007-06-07,78.0,78.0,78.0,78.0,880
2007-06-11,78.0,78.0,78.0,78.0,960
2007-06-13,78.0,80.0,80.0,80.0,100
2007-06-17,80.0,80.0,80.0,80.0,280
2007-06-19,80.0,81.0,80.0,81.0,160
2007-06-24,81.0,81.0,81.0,81.0,100
2007-06-26,81.0,82.0,82.0,82.0,420
2007-07-01,82.0,82.0,82.0,82.0,210
2007-07-04,82.0,82.0,82.0,82.0,370
2007-07-05,82.0,82.0,82.0,82.0,150
2007-07-09,82.0,83.0,83.0,83.0,110
2007-07-10,83.0,83.0,83.0,83.0,80
2007-07-11,83.0,82.0,82.0,82.0,590
2007-07-12,82.0,86.0,86.0,86.0,220
2007-07-15,86.0,86.0,86.0,86.0,640
2007-07-19,86.0,90.0,90.0,90.0,110
2007-07-22,90.0,92.0,92.0,92.0,200
2007-07-25,92.0,96.0,96.0,96.0,1170
2007-07-26,96.0,96.0,96.0,96.0,450
2007-07-29,96.0,100.0,100.0,100.0,220
2007-07-30,100.0,102.0,102.0,102.0,1900
2007-07-31,102.0,102.0,102.0,102.0,890
2007-08-01,102.0,104.0,104.0,104.0,2720
2007-08-02,104.0,109.0,109.0,109.0,1580
2007-08-05,109.0,112.0,110.0,112.0,620
2007-08-06,112.0,114.0,112.0,114.0,230
2007-08-07,114.0,117.0,117.0,117.0,660
2007-08-09,117.0,119.0,117.0,119.0,7780
2007-08-13,119.0,119.0,119.0,119.0,3370
2007-08-14,119.0,120.0,117.0,117.0,5380
2007-08-15,117.0,117.0,117.0,117.0,110
2007-08-16,119.0,119.0,117.0,118.0,1550
2007-08-19,117.0,117.0,117.0,117.0,190
2007-08-20,117.0,117.0,117.0,117.0,1160
2007-08-21,115.0,115.0,115.0,115.0,470
2007-08-23,117.0,117.0,117.0,117.0,740
2007-09-11,115.0,115.0,115.0,115.0,60
2007-09-12,115.0,115.0,115.0,115.0,40
2007-09-13,113.0,113.0,113.0,113.0,320
2007-09-17,111.0,111.0,111.0,111.0,70
2007-09-19,113.0,113.0,113.0,113.0,90
2007-09-27,113.0,115.0,113.0,115.0,410
2007-10-03,113.0,113.0,113.0,113.0,20
2007-10-11,113.0,115.0,113.0,113.0,1000
2007-10-28,113.0,113.0,113.0,113.0,20
2007-10-29,115.0,115.0,115.0,115.0,40
2007-11-07,113.0,113.0,113.0,113.0,60
2007-11-13,111.0,113.0,111.0,113.0,8220
2007-11-14,111.0,111.0,111.0,111.0,70
2007-11-15,111.0,111.0,111.0,111.0,280
2007-11-18,111.0,111.0,111.0,111.0,970
2007-11-19,110.0,110.0,110.0,110.0,110
2007-11-22,108.0,108.0,104.0,104.0,250
2007-11-25,106.0,108.0,106.0,106.0,540
2007-11-26,104.0,104.0,104.0,104.0,70
2007-11-27,104.0,104.0,104.0,104.0,290
2007-11-28,103.0,109.0,103.0,107.0,260
2007-11-29,105.0,111.0,105.0,111.0,260
2007-12-02,113.0,115.0,113.0,115.0,50
2007-12-03,117.0,119.0,117.0,119.0,90
2007-12-04,117.0,117.0,115.0,115.0,2670
2007-12-05,115.0,116.0,115.0,116.0,560
2007-12-06,115.0,116.0,115.0,115.0,1580
2007-12-09,115.0,115.0,115.0,115.0,160
2007-12-10,115.0,117.0,115.0,115.0,1590
2007-12-11,117.0,117.0,117.0,117.0,230
2007-12-12,117.0,120.0,117.0,120.0,660
2007-12-13,122.0,122.0,122.0,122.0,70
2007-12-18,124.0,130.0,124.0,130.0,2700
2007-12-19,130.0,143.0,130.0,143.0,2120
2007-12-23,145.0,151.0,145.0,151.0,480
2007-12-24,154.0,166.0,154.0,166.0,1350
2007-12-25,169.0,182.0,169.0,182.0,1640
2007-12-26,185.0,200.0,185.0,200.0,4920
2007-12-27,204.0,220.0,204.0,216.0,3140
2008-01-07,214.0,214.0,214.0,214.0,100
2008-01-08,218.0,218.0,218.0,218.0,70
2008-01-13,214.0,218.0,205.0,218.0,1600
2008-01-14,214.0,214.0,210.0,214.0,80
2008-01-16,210.0,210.0,206.0,206.0,190
2008-01-17,202.0,202.0,202.0,202.0,20
2008-01-20,206.0,206.0,202.0,202.0,150
2008-01-23,198.0,209.0,198.0,209.0,120
2008-01-27,205.0,212.0,205.0,210.0,130
2008-01-29,208.0,208.0,208.0,208.0,50
2008-01-31,204.0,204.0,200.0,200.0,430
2008-02-03,196.0,196.0,196.0,196.0,40
2008-02-04,199.0,202.0,198.0,202.0,250
2008-02-10,198.0,198.0,198.0,198.0,50
2008-02-11,202.0,202.0,202.0,202.0,340
2008-02-12,202.0,202.0,202.0,202.0,100
2008-02-17,205.0,205.0,205.0,205.0,60
2008-02-18,201.0,207.0,201.0,207.0,150
2008-02-21,203.0,203.0,203.0,203.0,100
2008-02-24,200.0,202.0,200.0,202.0,460
2008-02-26,200.0,200.0,198.0,198.0,50
2008-02-28,196.0,198.0,196.0,198.0,30
2008-03-02,195.0,195.0,195.0,195.0,40
2008-03-03,192.0,201.0,192.0,197.0,1140
2008-03-05,194.0,197.0,194.0,197.0,90
2008-03-11,195.0,195.0,194.0,194.0,5390
2008-03-23,192.0,192.0,192.0,192.0,80
2008-03-27,189.0,197.0,189.0,197.0,610
2008-03-31,195.0,195.0,194.0,195.0,70
2008-04-01,192.0,192.0,192.0,192.0,70
