date,open,high,low,close,volume
2021-04-28,300.0,330.0,300.0,330.0,640
2021-04-29,340.0,363.0,340.0,363.0,4920
2021-05-02,381.0,399.0,381.0,399.0,21283
2021-05-03,418.0,438.0,390.0,438.0,136646
2021-05-04,459.0,481.0,459.0,481.0,36060
2021-05-05,505.0,529.0,463.0,529.0,85214
2021-05-06,550.0,554.0,480.0,481.0,93135
2021-05-09,481.0,481.0,434.0,435.0,53490
2021-05-10,427.0,427.0,411.0,425.0,26609
2021-05-11,420.0,456.0,420.0,439.0,15867
2021-05-12,418.0,448.0,418.0,435.0,15949
2021-05-13,456.0,456.0,426.0,442.0,21335
2021-05-16,435.0,450.0,434.0,435.0,21949
2021-05-17,422.0,459.0,422.0,450.0,26542
2021-05-18,450.0,467.0,433.0,460.0,26104
2021-05-19,470.0,470.0,438.0,441.0,22767
2021-05-20,441.0,441.0,430.0,434.0,14994
2021-05-23,440.0,445.0,425.0,434.0,21879
2021-05-24,455.0,455.0,430.0,436.0,13437
2021-05-25,431.0,445.0,429.0,435.0,21162
2021-05-27,433.0,461.0,433.0,451.0,44391
2021-05-30,460.0,469.0,438.0,439.0,27028
2021-05-31,438.0,440.0,428.0,428.0,21638
2021-06-01,449.0,449.0,413.0,425.0,10310
2021-06-02,419.0,435.0,419.0,430.0,7658
2021-06-03,428.0,430.0,420.0,421.0,13264
2021-06-06,429.0,429.0,410.0,417.0,13649
2021-06-07,417.0,445.0,412.0,435.0,41967
2021-06-08,435.0,457.0,433.0,437.0,14905
2021-06-09,440.0,448.0,425.0,430.0,9963
2021-06-10,438.0,438.0,422.0,429.0,20270
2021-06-13,435.0,465.0,432.0,462.0,75141
2021-06-14,471.0,480.0,449.0,451.0,37947
2021-06-15,442.0,445.0,435.0,444.0,18723
2021-06-16,422.0,440.0,422.0,426.0,15064
2021-06-17,418.0,425.0,413.0,420.0,16264
2021-06-20,416.0,426.0,401.0,409.0,18676
2021-06-21,402.0,415.0,392.0,393.0,14863
2021-06-22,400.0,422.0,390.0,418.0,9441
2021-06-23,438.0,438.0,400.0,403.0,7935
2021-06-24,403.0,408.0,390.0,401.0,8296
2021-06-27,401.0,427.0,400.0,420.0,24965
2021-06-28,420.0,434.0,412.0,413.0,8425
2021-06-29,405.0,429.0,400.0,406.0,4944
