,date,open,high,low,close,volume
0,2019-01-27,1171.35,1171.72,1160.84,1160.84,306070000.0
1,2019-01-28,1162.94,1164.89,1161.48,1164.89,203579000.0
2,2019-01-29,1164.91,1165.09,1160.1,1160.99,259283000.0
3,2019-01-30,1160.53,1163.27,1159.35,1160.59,190573000.0
4,2019-01-31,1162.34,1163.86,1160.26,1161.63,268245000.0
5,2019-02-03,1160.57,1161.22,1152.16,1153.06,321743000.0
6,2019-02-04,1152.98,1155.08,1144.27,1144.27,322761000.0
7,2019-02-05,1143.58,1149.4,1143.39,1147.1,221967000.0
8,2019-02-06,1147.23,1147.31,1139.09,1139.72,226249000.0
9,2019-02-07,1139.29,1140.62,1137.14,1139.57,242260000.0
10,2019-02-10,1138.62,1138.86,1125.83,1127.53,228292000.0
11,2019-02-11,1126.46,1132.37,1124.51,1128.86,191024000.0
12,2019-02-12,1131.32,1132.5,1126.42,1128.19,156376000.0
13,2019-02-13,1129.86,1132.39,1121.08,1121.08,230651000.0
14,2019-02-14,1120.19,1120.3,1112.15,1112.87,231671000.0
15,2019-02-17,1117.7,1122.1,1107.92,1109.72,194345000.0
16,2019-02-18,1110.27,1111.14,1101.81,1102.51,208487000.0
17,2019-02-19,1103.35,1124.23,1102.3,1124.23,202684000.0
18,2019-02-20,1128.97,1128.97,1112.33,1112.23,154584000.0
19,2019-02-21,1113.6,1114.14,1110.15,1113.07,157692000.0
20,2019-02-24,1115.2,1115.25,1102.32,1102.32,193957000.0
21,2019-02-25,1102.45,1109.73,1100.13,1109.73,182429000.0
22,2019-02-26,1109.77,1110.22,1101.59,1102.56,149262000.0
23,2019-02-27,1103.65,1111.04,1103.17,1105.53,204517000.0
24,2019-03-03,1108.26,1108.84,1100.58,1100.58,221026000.0
25,2019-03-05,1100.95,1104.61,1098.95,1102.64,213341000.0
26,2019-03-06,1103.17,1111.76,1100.97,1111.76,211805000.0
27,2019-03-07,1112.45,1127.77,1112.45,1127.77,283819000.0
28,2019-03-10,1127.29,1129.41,1118.21,1128.71,102317000.0
29,2019-03-11,1129.51,1142.93,1125.94,1142.93,382285000.0
30,2019-03-12,1148.69,1163.26,1143.99,1163.26,513877000.0
31,2019-03-13,1157.85,1166.24,1150.1,1150.1,407008000.0
32,2019-03-14,1149.64,1156.19,1142.89,1155.5,263186000.0
33,2019-03-17,1156.18,1165.19,1156.18,1161.45,316538000.0
34,2019-03-18,1161.05,1164.62,1153.98,1153.98,279032000.0
35,2019-03-19,1155.72,1158.78,1147.15,1147.15,129145000.0
36,2019-03-21,1148.61,1150.3,1140.0,1140.6,248614000.0
37,2019-03-24,1141.33,1142.14,1131.14,1134.8,211913000.0
38,2019-03-25,1134.65,1139.71,1132.06,1138.67,216906000.0
39,2019-03-26,1138.86,1140.9,1136.7,1140.72,190317000.0
40,2019-03-27,1140.69,1142.81,1140.16,1142.61,208898000.0
41,2019-03-28,1142.0,1144.53,1140.56,1144.53,215417000.0
42,2019-03-31,1145.95,1149.81,1139.68,1143.09,241951000.0
43,2019-04-01,1142.65,1152.05,1142.06,1149.99,326449000.0
44,2019-04-02,1153.89,1164.41,1153.89,1163.82,472345000.0
45,2019-04-03,1163.71,1172.4,1158.79,1165.84,524422000.0
46,2019-04-04,1165.85,1169.87,1159.9,1165.2,386452000.0
47,2019-04-07,1164.94,1182.36,1161.66,1182.36,518228000.0
48,2019-04-08,1183.46,1197.88,1179.47,1191.68,864143000.0
49,2019-04-09,1191.78,1194.62,1180.0,1181.1,622530000.0
50,2019-04-10,1181.72,1187.98,1174.88,1184.61,358990000.0
51,2019-04-11,1184.29,1189.98,1180.18,1184.02,387624000.0
52,2019-04-15,1184.22,1188.71,1181.95,1188.71,289871000.0
53,2019-04-16,1187.73,1212.05,1187.73,1212.05,723990000.0
54,2019-04-17,1212.34,1223.42,1210.35,1217.04,803245000.0
55,2019-04-18,1217.11,1232.26,1214.95,1232.26,732081000.0
56,2019-04-21,1232.53,1264.2,1230.22,1264.2,1004000000.0
57,2019-04-22,1264.77,1280.08,1247.65,1256.94,1000550000.0
58,2019-04-23,1256.61,1268.32,1248.5,1260.68,561851000.0
59,2019-04-24,1265.11,1280.84,1261.69,1279.29,921346000.0
60,2019-04-25,1279.67,1296.92,1279.67,1292.12,1335980000.0
61,2019-04-28,1293.77,1322.88,1293.77,1314.51,1616090000.0
62,2019-04-29,1318.44,1322.95,1299.09,1310.31,1160230000.0
63,2019-04-30,1310.65,1316.53,1296.07,1298.6,913018000.0
64,2019-05-02,1298.8,1300.43,1282.95,1294.39,573145000.0
65,2019-05-05,1293.71,1293.71,1276.73,1277.68,628641000.0
66,2019-05-06,1278.0,1299.41,1270.06,1299.41,619565000.0
67,2019-05-07,1298.35,1311.18,1295.73,1301.28,699849000.0
68,2019-05-08,1301.39,1304.15,1295.32,1297.6,494902000.0
69,2019-05-09,1297.57,1302.62,1290.11,1291.96,605087000.0
70,2019-05-12,1292.12,1295.03,1284.17,1295.03,672155000.0
71,2019-05-13,1295.99,1301.68,1295.99,1301.34,775122000.0
72,2019-05-14,1307.84,1321.0,1307.84,1315.45,1007530000.0
73,2019-05-15,1316.79,1334.06,1316.21,1321.0,1302630000.0
74,2019-05-16,1322.68,1326.69,1313.93,1318.71,881397000.0
75,2019-05-19,1319.33,1322.09,1312.81,1316.84,1055840000.0
76,2019-05-20,1319.21,1322.85,1305.43,1307.71,1164890000.0
77,2019-05-21,1308.4,1317.79,1304.59,1312.14,796717000.0
78,2019-05-22,1314.94,1322.47,1314.82,1319.63,918485000.0
79,2019-05-23,1321.69,1324.15,1309.12,1314.55,913236000.0
80,2019-05-26,1315.97,1317.86,1301.32,1302.61,603897000.0
81,2019-05-27,1302.98,1309.9,1298.36,1302.96,499910000.0
82,2019-05-28,1304.22,1307.08,1300.45,1305.49,749069000.0
83,2019-05-29,1307.3,1315.16,1307.13,1313.88,884201000.0
84,2019-05-30,1328.62,1349.38,1317.67,1319.47,1504460000.0
85,2019-06-02,1317.91,1317.91,1304.53,1305.68,735995000.0
86,2019-06-03,1306.88,1308.63,1291.02,1292.84,664590000.0
87,2019-06-04,1292.86,1297.91,1286.37,1289.28,694591000.0
88,2019-06-06,1296.5,1296.8,1284.59,1284.59,579563000.0
89,2019-06-10,1285.49,1289.54,1274.62,1275.82,553347000.0
90,2019-06-11,1276.26,1281.32,1274.82,1275.99,459071000.0
91,2019-06-12,1276.09,1277.04,1267.17,1272.49,399465000.0
92,2019-06-13,1272.91,1274.83,1264.46,1269.55,418750000.0
93,2019-06-16,1271.18,1271.27,1256.85,1258.27,472521000.0
94,2019-06-17,1259.38,1264.97,1254.52,1260.9,403538000.0
95,2019-06-18,1261.04,1263.56,1258.36,1258.66,359411000.0
96,2019-06-19,1258.25,1262.11,1256.72,1258.46,304190000.0
97,2019-06-20,1258.9,1266.33,1257.93,1264.36,375315000.0
98,2019-06-23,1264.53,1264.53,1253.43,1254.35,481860000.0
99,2019-06-24,1254.67,1260.1,1253.01,1260.1,481493000.0
100,2019-06-25,1260.23,1264.52,1259.35,1261.07,364773000.0
101,2019-06-26,1261.1,1261.49,1255.45,1258.29,570123000.0
102,2019-06-27,1259.16,1260.43,1256.63,1257.15,627909000.0
103,2019-06-30,1258.31,1258.85,1244.81,1244.89,645099000.0
104,2019-07-01,1245.58,1245.68,1237.43,1241.61,364344000.0
105,2019-07-02,1242.83,1253.06,1238.77,1253.06,429477000.0
106,2019-07-03,1253.52,1270.04,1249.5,1268.68,550248000.0
107,2019-07-04,1269.48,1272.79,1258.87,1260.47,670170000.0
108,2019-07-07,1262.98,1263.82,1255.01,1256.04,540529000.0
109,2019-07-08,1256.15,1257.57,1245.62,1247.35,591054000.0
110,2019-07-09,1247.41,1252.2,1244.36,1250.27,468264000.0
111,2019-07-10,1250.43,1251.89,1246.15,1249.15,573447000.0
112,2019-07-11,1249.46,1251.09,1247.63,1248.53,460037000.0
113,2019-07-14,1248.94,1253.09,1248.59,1249.49,285215000.0
114,2019-07-15,1250.09,1254.56,1249.17,1254.56,430526000.0
115,2019-07-16,1285.48,1285.5,1256.46,1259.01,347289000.0
116,2019-07-17,1258.94,1274.86,1258.81,1274.86,426743000.0
117,2019-07-18,1275.71,1283.63,1272.49,1272.49,411369000.0
118,2019-07-21,1276.29,1276.31,1265.6,1268.74,298157000.0
119,2019-07-22,1268.77,1272.38,1267.92,1271.23,316643000.0
120,2019-07-23,1271.24,1279.42,1271.22,1277.17,368981000.0
121,2019-07-24,1277.48,1284.99,1276.07,1284.07,443481000.0
122,2019-07-25,1284.41,1284.41,1269.35,1269.92,550532000.0
123,2019-07-28,1266.63,1266.63,1250.18,1252.8,492674000.0
124,2019-07-29,1252.72,1259.69,1252.72,1255.98,350813000.0
125,2019-07-30,1256.01,1262.16,1256.01,1259.37,294305000.0
126,2019-07-31,1259.53,1267.73,1257.91,1265.57,370002000.0
127,2019-08-01,1265.52,1270.88,1262.55,1263.84,590588000.0
128,2019-08-04,1263.87,1266.37,1258.27,1259.64,474152000.0
129,2019-08-05,1260.3,1261.63,1253.5,1255.09,443205000.0
130,2019-08-06,1255.74,1255.74,1243.74,1245.73,450755000.0
131,2019-08-07,1245.2,1249.98,1239.55,1248.48,368646000.0
132,2019-08-08,1248.91,1248.91,1237.7,1238.56,454630000.0
133,2019-08-11,1236.62,1237.97,1229.69,1233.71,311757000.0
134,2019-08-12,1234.68,1236.82,1232.11,1233.85,314229000.0
135,2019-08-13,1234.59,1236.47,1229.06,1231.07,481630000.0
136,2019-08-14,1230.97,1231.49,1224.43,1225.9,257285000.0
137,2019-08-15,1225.11,1226.06,1221.8,1224.03,424323000.0
138,2019-08-18,1224.03,1226.07,1214.33,1214.83,329528000.0
139,2019-08-19,1214.96,1229.5,1210.8,1222.06,389625000.0
140,2019-08-20,1222.04,1222.87,1212.1,1213.63,272509000.0
141,2019-08-21,1213.96,1216.3,1209.77,1214.05,292642000.0
142,2019-08-22,1214.37,1220.9,1212.43,1213.06,261670000.0
143,2019-08-25,1212.76,1213.23,1201.71,1209.62,350270000.0
144,2019-08-26,1209.7,1210.24,1199.31,1203.13,380597000.0
145,2019-08-27,1203.42,1212.3,1203.4,1208.0,244668000.0
146,2019-08-28,1209.7,1213.46,1197.32,1197.75,371023000.0
147,2019-08-29,1198.49,1201.23,1194.09,1196.41,277360000.0
148,2019-09-01,1196.6,1198.51,1184.06,1184.78,297398000.0
149,2019-09-02,1184.93,1190.88,1167.81,1170.34,407570000.0
150,2019-09-03,1170.87,1190.9,1156.72,1190.9,510552000.0
151,2019-09-04,1192.21,1198.48,1183.4,1194.77,436445000.0
152,2019-09-05,1195.89,1196.92,1189.05,1191.07,290177000.0
153,2019-09-08,1192.07,1192.33,1176.41,1178.46,305311000.0
154,2019-09-09,1178.47,1180.28,1166.09,1168.91,299201000.0
155,2019-09-10,1168.91,1172.82,1161.2,1166.67,237960000.0
156,2019-09-11,1166.68,1168.06,1161.95,1163.21,341745000.0
157,2019-09-12,1163.71,1164.09,1156.37,1157.88,376184000.0
158,2019-09-15,1157.68,1160.55,1140.01,1140.01,288100000.0
159,2019-09-16,1140.49,1140.55,1122.02,1123.83,343918000.0
160,2019-09-17,1127.26,1152.51,1127.26,1150.74,383957000.0
161,2019-09-18,1150.65,1173.14,1150.65,1172.15,455312000.0
162,2019-09-19,1173.44,1178.28,1155.3,1155.3,399931000.0
163,2019-09-22,1155.3,1157.79,1135.18,1139.25,226950000.0
164,2019-09-23,1139.92,1147.85,1137.87,1140.98,177279000.0
165,2019-09-24,1140.99,1141.62,1132.72,1134.56,218278000.0
166,2019-09-25,1134.56,1135.26,1130.88,1131.53,166922000.0
167,2019-09-26,1131.52,1133.8,1128.61,1129.8,212541000.0
168,2019-09-29,1129.81,1131.87,1123.66,1125.14,241499000.0
169,2019-09-30,1125.49,1135.56,1121.09,1135.56,168829000.0
170,2019-10-01,1135.05,1146.11,1134.82,1145.69,311489000.0
171,2019-10-02,1145.69,1149.7,1140.07,1140.71,203287000.0
172,2019-10-03,1142.44,1149.4,1138.58,1149.4,176634000.0
173,2019-10-10,1149.03,1151.81,1148.13,1149.01,63845400.0
174,2019-10-14,1149.01,1151.52,1135.04,1136.96,218636000.0
175,2019-10-15,1138.38,1142.04,1135.86,1142.04,222452000.0
176,2019-10-16,1142.39,1142.71,1136.0,1137.03,196619000.0
177,2019-10-17,1137.03,1140.38,1135.87,1137.75,182995000.0
178,2019-10-20,1137.69,1138.99,1132.58,1133.71,113360000.0
179,2019-10-21,1133.73,1135.84,1130.14,1132.4,164350000.0
180,2019-10-22,1132.45,1134.81,1130.21,1134.79,165296000.0
181,2019-10-23,1135.4,1142.82,1135.4,1142.6,163758000.0
182,2019-10-24,1142.41,1150.47,1141.39,1149.34,327632000.0
183,2019-10-31,1149.74,1151.48,1143.07,1146.17,254312000.0
184,2019-11-03,1145.83,1146.88,1136.39,1139.29,175544000.0
185,2019-11-04,1139.57,1141.13,1135.96,1140.26,191854000.0
186,2019-11-05,1140.21,1141.86,1138.66,1139.45,284473000.0
187,2019-11-06,1139.49,1141.08,1136.74,1138.02,206254000.0
188,2019-11-07,1138.27,1139.36,1131.33,1131.97,374151000.0
